problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
4,2310019,56,0,12,12,5939.596801,494.9664000833,21532.98401874,259,245,11,3,215,33,3,56662,0,0,0,57,0.5354265,convex_mesh_per_channel,0,0
4,2310020,56,0,12,12,5435.400804,452.950067,20042.00403344,226,213,8,3,263,40,3,71985,0,0,0,64,0.6220394,convex_mesh_per_channel,0,0
4,2310021,56,0,11,11,5535.32221,503.21111,19991.61103846,245,230,9,3,294,37,3,88053,0,0,0,61,0.8238635,convex_mesh_per_channel,0,0
4,2310022,56,0,14,14,5563.773472,397.4123908571,21358.86735618,203,189,6,3,531,46,3,135678,0,0,0,70,1.2925375,convex_mesh_per_channel,0,0
4,2310023,56,0,10,10,5991.163566,599.1163566,21415.81782903,273,260,11,3,143,32,3,35727,0,0,0,56,0.3572513,convex_mesh_per_channel,0,0
4,2310024,56,0,16,16,4669.541486,291.846342875,18517.70742786,145,143,6,3,370,49,3,96319,0,0,0,62,0.8678745,upper_bound_16,0,0
4,2310025,56,0,16,16,4782.972234,298.935764625,19074.86118594,134,128,30,7,326,46,7,74211,0,0,0,63,0.7112712,upper_bound_16,0,0
4,2310026,56,0,11,11,5833.266589,530.2969626364,20396.33292683,273,262,24,3,154,30,3,45678,0,0,0,54,0.3928352,convex_mesh_per_channel,0,0
4,2310027,56,0,12,12,5590.435191,465.86959925,20172.17595931,250,237,3,3,172,30,3,47273,0,0,0,54,0.4388106,convex_mesh_per_channel,0,0
4,2310028,56,0,10,10,5873.184305,587.3184305,20745.92152172,280,265,3,1,126,30,1,37699,0,0,0,52,0.3336671,convex_mesh_per_channel,0,0
4,2310029,56,0,15,15,6013.523892,400.9015928,22917.61944769,220,207,16,2,247,43,2,66650,0,0,0,66,0.6339949,convex_mesh_per_channel,0,0
4,2310030,56,0,15,15,5496.330037,366.4220024667,21196.65017739,194,179,11,6,325,44,6,96837,0,0,0,71,0.926587,convex_mesh_per_channel,0,0
4,2310031,56,0,14,14,5563.900586,397.4214704286,20839.5029273,217,205,12,5,294,43,5,75881,0,0,0,69,0.8154118,convex_mesh_per_channel,0,0
4,2310032,56,0,14,14,5608.771903,400.6265645,20473.85950138,237,226,11,5,279,48,5,87560,0,0,0,74,0.8460351,convex_mesh_per_channel,0,0
4,2310033,56,0,12,12,6314.91479,526.2428991667,22784.57399568,268,256,34,8,211,38,8,56538,0,0,0,67,0.6298853,convex_mesh_per_channel,0,0
4,2310034,56,0,14,14,7017.275005,501.2339289286,25596.37505923,259,245,96,5,133,38,5,33458,0,0,0,64,0.4692981,convex_mesh_per_channel,0,0
4,2310035,56,0,13,13,5874.263837,451.866449,21366.31917989,253,244,9,4,181,36,4,42147,0,0,0,61,0.5700522,convex_mesh_per_channel,0,0
4,2310036,56,0,10,10,5631.358551,563.1358551,20296.79275088,252,238,8,2,233,34,2,69991,0,0,0,57,0.6338011,convex_mesh_per_channel,0,0
4,2310037,56,0,10,10,5959.046474,595.9046474,21220.2323597,277,265,5,3,94,20,3,22024,0,0,0,44,0.2481658,convex_mesh_per_channel,0,0
4,2310038,56,0,13,13,5501.125859,423.1635276154,20685.62928887,215,203,7,2,246,38,2,74650,0,0,0,61,0.6943886,convex_mesh_per_channel,0,0
4,2310039,56,0,11,11,5836.529225,530.5935659091,20737.64612637,273,257,4,3,142,32,3,39957,0,0,0,56,0.4271113,convex_mesh_per_channel,0,0
4,2310040,56,0,11,11,5711.525383,519.2295802727,20772.62693301,252,242,0,1,187,29,1,49447,0,0,0,51,0.511047,convex_mesh_per_channel,0,0
