problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
4,2310189,78,0,10,10,6080.975448,608.0975448,21244.87723673,296,281,7,4,140,27,4,36268,0,0,0,52,0.3599331,convex_mesh_per_channel,2,9.664177375955
4,2310190,78,0,16,16,5554.822897,347.1764310625,21049.11449302,205,195,15,4,282,49,4,72886,0,0,0,71,0.6753469,upper_bound_16,2,11.3236472618
4,2310191,78,0,12,12,6082.208273,506.8506894167,22071.04136593,254,239,33,4,74,25,4,16469,0,0,0,50,0.1706155,convex_mesh_per_channel,1,7.092968138502
4,2310192,78,0,15,15,5512.048144,367.4698762667,21305.2407137,197,182,3,3,480,46,3,123320,0,0,0,70,1.131832,convex_mesh_per_channel,3,12.19890158333
4,2310193,78,0,12,12,5879.511935,489.9593279167,20952.5596699,267,252,14,5,189,35,5,55851,0,0,0,61,0.4988391,convex_mesh_per_channel,0,0
4,2310194,78,0,14,14,5431.979658,387.998547,20169.89829665,221,211,4,3,423,41,3,116147,0,0,0,65,1.028788,convex_mesh_per_channel,0,0
4,2310195,78,0,14,14,5992.40747,428.029105,22507.03734787,236,223,6,4,293,46,4,80653,0,0,0,71,0.7217674,convex_mesh_per_channel,1,7.405632394079
4,2310196,78,0,11,11,5377.846458,488.8951325455,19259.23229628,244,230,7,6,249,32,6,65597,0,0,0,59,0.5636389,convex_mesh_per_channel,1,0
4,2310197,78,0,15,15,5427.995477,361.8663651333,20294.97737621,214,200,8,1,459,51,1,119656,0,0,0,73,1.142933,convex_mesh_per_channel,2,1.298524845181
4,2310198,78,0,12,12,5897.899461,491.49162175,21669.49730545,249,232,9,5,285,42,5,71247,0,0,0,68,0.7075026,convex_mesh_per_channel,2,23.07830977072
4,2310199,78,0,16,16,5923.418576,370.213661,22042.09289152,233,222,16,4,234,49,4,64819,0,0,0,72,0.6039315,upper_bound_16,3,8.60093906345
4,2310200,78,0,15,15,5536.318251,369.0878834,21126.59123895,200,188,16,5,199,40,5,57638,0,0,0,66,0.5010858,convex_mesh_per_channel,3,31.48101062627
