problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2320024,78,1,10,10,4191.978771,419.1978771,16369.89385059,139,128,15,0,43,22,7,7131,0,6,4,36,0.0305943,seven_point_per_channel,6,33.65331691029
3,2320025,78,1,11,11,4548.837813,413.5307102727,17924.18904691,147,129,15,1,44,21,6,6844,0,13,10,34,0.028084,seven_point_per_channel,6,127.3237237758
3,2320026,78,1,12,12,4205.046705,350.42055875,16340.23353416,139,125,19,0,57,32,3,8833,0,18,18,42,0.0348252,seven_point_per_channel,4,9.975170746657
3,2320027,78,1,13,13,4693.049796,361.0038304615,18640.24897396,145,127,16,2,55,26,5,8773,0,19,18,38,0.035361,seven_point_per_channel,5,66.17022296196
3,2320028,78,1,16,16,4723.361486,295.210092875,19016.80743729,136,124,12,2,68,28,4,11702,0,21,21,39,0.0469073,upper_bound_16,4,49.13746153855
3,2320029,78,1,12,12,4271.511035,355.9592529167,16557.55518546,144,129,17,0,51,26,5,8486,0,19,19,38,0.0335822,seven_point_per_channel,5,37.4499422914
3,2320030,78,1,10,10,4213.963324,421.3963324,16514.81660634,137,128,16,2,41,22,6,7175,0,4,4,35,0.0278788,seven_point_per_channel,6,98.93598322456
3,2320031,78,1,14,14,4903.710485,350.2650346429,19738.55241973,143,129,14,3,53,25,5,7963,0,15,14,37,0.0329164,seven_point_per_channel,6,82.43697325758
3,2320032,78,1,10,10,4214.714404,421.4714404,16523.57202446,135,125,20,0,50,31,4,8969,0,4,4,42,0.0345841,seven_point_per_channel,4,44.10091500153
3,2320033,78,1,16,16,4825.434505,301.5896565625,19247.17252652,142,126,20,2,78,32,7,12258,0,24,23,46,0.0489923,upper_bound_16,6,81.51020186944
3,2320034,78,1,12,12,4241.611819,353.4676515833,16533.05909467,140,130,15,0,49,26,5,7836,0,17,17,38,0.0304332,seven_point_per_channel,7,0.1928069808782
3,2320035,78,1,12,12,4236.374141,353.0311784167,16451.87072108,143,129,14,0,46,23,5,7847,0,17,17,35,0.0308362,seven_point_per_channel,5,38.2215313796
3,2320036,78,1,11,11,4473.155715,406.6505195455,17645.77855411,144,130,13,0,47,23,6,7836,0,13,11,36,0.0304464,seven_point_per_channel,5,40.85752324222
3,2320037,78,1,10,10,4201.040245,420.1040245,16475.20122337,136,125,17,1,47,27,4,7979,0,6,5,38,0.0313791,seven_point_per_channel,4,40.66580343466
3,2320038,78,1,13,13,4608.80481,354.5234469231,18394.02403501,141,127,11,1,52,23,5,8771,0,14,13,35,0.0345036,seven_point_per_channel,7,52.50702791471
3,2320039,78,1,14,14,4903.500866,350.2500618571,19672.50432166,143,130,18,2,64,27,7,8806,0,17,14,41,0.0353268,seven_point_per_channel,9,103.6488282211
3,2320040,78,1,14,14,4911.519785,350.8228417857,19927.59892921,140,126,10,2,44,20,5,6997,0,13,12,32,0.0276754,seven_point_per_channel,8,12.9407233365
4,2320001,78,1,12,12,8590.209923,715.8508269167,30486.04962135,335,314,148,12,55,26,12,8474,0,0,0,59,0.153416,convex_mesh_per_channel,0,0
4,2320002,78,1,16,16,7240.788157,452.5492598125,25948.94079815,305,290,52,9,69,28,9,12311,0,0,0,58,0.1650337,upper_bound_16,3,9.1213182438
4,2320003,78,1,11,11,6825.060801,620.4600728182,23170.30396527,333,321,50,6,52,19,6,9912,0,0,0,46,0.159663,convex_mesh_per_channel,1,10.4899300716
4,2320004,78,1,14,14,7029.715947,502.1225676429,24503.57974296,329,315,33,7,37,25,7,5969,0,0,0,53,0.1049059,convex_mesh_per_channel,5,27.02365306563
4,2320005,78,1,13,13,7170.122548,551.5478883077,24315.61272809,349,332,55,9,44,16,9,7054,0,0,0,46,0.1093575,convex_mesh_per_channel,2,31.84494453144
