日期,时间段,计划购电_kWh,最终合同购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,弃电_kWh,电价_元每kWh,时段初SOC_kWh,时段末SOC_kWh
2025-10-19,11:40-11:50,573.7890178035636,542.0457251174793,766.6666666666666,0.0,0.0,169.54229178414585,0.4662,6510.0,7200.0
2025-10-19,11:50-12:00,562.3491597610401,450.38605524384144,733.3333333333334,0.0,0.0,165.1239719105082,0.4432,7200.0,7860.0
2025-10-19,12:00-12:10,459.36736506516047,0.0,438.93631666666704,0.0,1.7053025658242404e-13,0.0,0.4411,7860.0,8255.042685
2025-10-19,12:10-12:20,487.84005476226463,0.0,392.817499999999,0.0,0.0,9.663381206337363e-13,0.4551,8255.042685,8608.578435
2025-10-19,12:20-12:30,501.85063524667794,0.0,351.68708333333296,0.0,0.0,2.8421709430404007e-13,0.4463,8608.578435,8925.09681
2025-10-19,12:30-12:40,540.6031001970742,221.20118934953373,555.5825060162008,0.0,5.115907697472721e-13,0.0,0.4113,8925.09681,9425.12106541458
2025-10-19,12:40-12:50,65.28809273688954,0.0,299.0252499999992,0.0,0.0,7.958078640513122e-13,0.5682,9425.12106541458,9694.243790414579
2025-10-19,12:50-13:00,65.28809273688954,0.0,219.79166666666666,0.0,-0.0,0.0,0.8279,9694.243790414579,9892.056290414579
2025-10-19,13:00-13:10,65.28809273688954,0.0,126.40249999999973,0.0,0.0,4.121147867408581e-13,0.8636,9892.056290414579,10005.818540414579
2025-10-19,13:10-13:20,65.28809273688954,0.0,137.67505000000003,0.0,5.684341886080802e-14,0.0,0.8416,10005.818540414579,10129.726085414579
2025-10-19,13:20-13:30,65.28809273688954,0.0,200.2008333333328,0.0,0.0,5.115907697472721e-13,0.8618,10129.726085414579,10309.906835414578
2025-10-19,13:30-13:40,65.28809273688954,0.0,139.07873333333353,0.0,2.5579538487363607e-13,0.0,0.8623,10309.906835414578,10435.077695414579
2025-10-19,13:40-13:50,65.28809273688954,0.0,63.95649999999983,0.0,0.0,2.5579538487363607e-13,0.9026,10435.077695414579,10492.638545414578
2025-10-19,13:50-14:00,65.28809273688954,0.0,18.7475000000005,0.0,4.014566457044566e-13,0.0,0.9754,10492.638545414578,10509.511295414579
2025-10-19,14:00-14:10,65.28809273688954,0.0,0.0,61.050000000000544,0.0,5.115907697472721e-13,1.0002,10509.511295414579,10441.677962081245
2025-10-19,14:10-14:20,65.28809273688954,0.0,0.0,120.88125000000001,0.0,9.947598300641403e-14,0.9978,10441.677962081245,10307.365462081245
2025-10-19,14:20-14:30,65.28809273688954,0.0,0.0,150.0729166666659,7.673861546209082e-13,0.0,1.0271,10307.365462081245,10140.61777689606
2025-10-19,14:30-14:40,65.28809273688954,0.0,0.0,203.43035000000017,0.0,2.2737367544323206e-13,1.0906,10140.61777689606,9914.584054673838
2025-10-19,14:40-14:50,65.28809273688954,0.0,0.0,294.40141666666733,0.0,5.684341886080801e-13,0.9376,9914.584054673838,9587.471369488652
2025-10-19,14:50-15:00,942.5387429362426,476.81673537635436,110.24673537635357,0.0,0.0,7.958078640513122e-13,0.6694,9587.471369488652,9686.69343132737
2025-10-19,15:00-15:10,1267.6205284880405,1189.8406859746462,833.3333333333333,0.0,0.0,4.168902641313025,0.66,9686.69343132737,10436.69343132737
2025-10-19,15:10-15:20,549.4715634404621,391.66228997278967,23.12508997279009,0.0,4.547473508864641e-13,0.0,0.7217,10436.69343132737,10457.506012302882
2025-10-19,15:20-15:30,616.8190994782066,495.37106109329574,44.938144426628746,0.0,0.0,2.8421709430404007e-13,0.7308,10457.506012302882,10497.950342286847
2025-10-19,15:30-15:40,671.3443366860294,569.673831451477,50.57456478480971,0.0,0.0,5.684341886080801e-13,0.7534,10497.950342286847,10543.467450593176
2025-10-19,15:40-15:50,724.5936476577389,578.0862585414511,24.522041874784513,0.0,0.0,1.1368683772161603e-13,0.7823,10543.467450593176,10565.537288280482
2025-10-19,15:50-16:00,698.3904604564897,657.4876720306485,75.44308869731442,0.0,0.0,5.684341886080801e-13,0.8055,10565.537288280482,10633.436068108065
2025-10-19,16:00-16:10,796.1200271231556,751.1691956688445,108.64132900217858,0.0,7.958078640513122e-13,0.0,0.8271,10633.436068108065,10731.213264210026
2025-10-19,16:10-16:20,760.5288231039341,751.2890944099026,68.78216107656853,0.0,0.0,6.821210263296962e-13,0.8519,10731.213264210026,10793.117209178938
2025-10-19,16:20-16:30,710.4260513024354,690.5485165003972,0.0,17.469400166268862,5.684341886080801e-13,0.0,0.8791,10793.117209178938,10773.70676454975
2025-10-19,16:30-16:40,801.4684019842069,773.6896867676935,0.0,2.7528965656400035,-0.0,0.0,0.9024,10773.70676454975,10770.647990587928
2025-10-19,16:40-16:50,908.548118378918,887.019229971884,32.613343791191355,0.0,0.0,26.185419514025966,0.9163,10770.647990587928,10800.0
2025-10-19,16:50-17:00,939.8515399035912,909.594297835374,0.0,-0.0,0.0,49.35679783537398,0.9264,10800.0,10800.0
2025-10-19,17:00-17:10,1001.6030220555602,962.1871810024094,0.0,-0.0,0.0,34.487081002409354,0.9462,10800.0,10800.0
2025-10-19,17:10-17:20,1017.041218489151,1017.041218489151,0.0,-0.0,0.0,40.551085155817646,0.9742,10800.0,10800.0
2025-10-19,17:20-17:30,1021.305765829219,1021.305765829219,0.0,-0.0,0.0,12.799515829219104,0.9862,10800.0,10800.0
2025-10-19,17:30-17:40,1081.3254948486626,1081.3254948486626,0.0,-0.0,0.0,31.989178181996067,0.976,10800.0,10800.0
2025-10-19,17:40-17:50,933.7398094530911,921.5479191586726,0.0,-0.0,0.0,15.237102492005874,1.0742,10800.0,10800.0
2025-10-19,17:50-18:00,688.530743789823,688.5307437898228,0.0,-0.0,0.0,3.499077123156212,1.2313,10800.0,10800.0
2025-10-19,18:00-18:10,661.9747116925327,606.6612386152384,0.0,106.61666138476176,0.0,1.1368683772161603e-13,1.2561,10800.0,10681.53704290582
2025-10-19,18:10-18:20,764.2905402440113,764.2905402440111,5.714390244011156,0.0,-0.0,0.0,1.2447,10681.53704290582,10686.67999412543
2025-10-19,18:20-18:30,697.6219802200613,697.6219802200613,0.0,21.148019779938295,3.410605131648481e-13,0.0,1.2545,10686.67999412543,10663.182194369943
2025-10-19,18:30-18:40,685.2869135533946,685.2869135533946,0.0,37.186553113271295,7.958078640513122e-13,0.0,1.2522,10663.182194369943,10621.863802021864
2025-10-19,18:40-18:50,607.9345484488971,607.9345484488971,0.0,116.58848488443674,0.0,5.684341886080801e-13,1.2881,10621.863802021864,10492.321041039157
2025-10-19,18:50-19:00,5.193430473526107,0.0,0.0,719.128333333333,4.547473508864641e-13,0.0,1.3466,10492.321041039157,9693.289559557676
2025-10-19,19:00-19:10,5.193430473526107,0.0,0.0,752.8455166666671,0.0,4.547473508864641e-13,1.3523,9693.289559557676,8856.794541039157
2025-10-19,19:10-19:20,5.193430473526107,2.725691083295701,0.0,740.484975583371,-0.0,0.0,1.3445,8856.794541039157,8034.033457057633
2025-10-19,19:20-19:30,5.193430473526107,0.0,0.0,691.7849999999997,2.2737367544323206e-13,0.0,1.3483,8034.033457057633,7265.383457057634
2025-10-19,19:30-19:40,5.193430473526107,0.0,0.0,690.8190333333336,0.0,2.2737367544323206e-13,1.349,7265.383457057634,6497.80675335393
2025-10-19,19:40-19:50,5.193430473526107,0.0,0.0,726.3184499999996,4.547473508864641e-13,0.0,1.3473,6497.80675335393,5690.78625335393
2025-10-19,19:50-20:00,5.193430473526107,0.0,0.0,754.3316666666664,2.2737367544323206e-13,0.0,1.3482,5690.78625335393,4852.639957057634
2025-10-19,20:00-20:10,5.193430473526107,0.0,0.0,743.5490333333332,1.1368683772161603e-13,0.0,1.3513,4852.639957057634,4026.4743644650416
2025-10-19,20:10-20:20,5.193430473526107,5.193430473526107,0.0,715.7868028598075,0.0,2.2737367544323206e-13,1.34,4026.4743644650416,3231.155694620811
2025-10-19,20:20-20:30,5.193430473526107,0.0,0.0,712.818333333333,2.2737367544323206e-13,0.0,1.3489,3231.155694620811,2439.135324250441
2025-10-19,20:30-20:40,5.193430473526107,0.0,0.0,723.1958666666666,-0.0,0.0,1.3952,2439.135324250441,1635.5843612874783
2025-10-19,20:40-20:50,712.1321745884817,712.1321745884817,0.0,18.485525411518303,0.0,1.1368683772161603e-13,1.2226,1635.5843612874783,1615.0448886080135
2025-10-19,20:50-21:00,720.9979343356905,720.9979343356906,0.0,7.647065664309321,-0.0,0.0,0.9332,1615.0448886080135,1606.5481489810031
2025-10-19,21:00-21:10,739.9998488736165,739.9998488736165,9.460032206949714,0.0,0.0,1.1368683772161603e-13,0.9068,1606.5481489810031,1615.0621779672579
2025-10-19,21:10-21:20,745.0522666666665,745.0522666666665,2.2451333333330896,0.0,-0.0,0.0,0.9371,1615.0621779672579,1617.0827979672576
2025-10-19,21:20-21:30,718.8433333333334,718.8433333333334,0.0,42.414999999999964,-0.0,0.0,0.9371,1617.0827979672576,1569.95502018948
2025-10-19,21:30-21:40,735.7243435112648,735.7243435112649,0.0,24.440339822068427,-0.0,0.0,0.9871,1569.95502018948,1542.7990870538483
2025-10-19,21:40-21:50,714.8082663344238,714.8082663344238,46.21854966775699,0.0,0.0,1.1368683772161603e-13,0.7764,1542.7990870538483,1584.3957817548296
2025-10-19,21:50-22:00,1332.3264367104214,1332.3264367104214,794.373103377088,0.0,0.0,1.1368683772161603e-13,0.4209,1584.3957817548296,2299.331574794209
2025-10-19,22:00-22:10,1350.4075824599786,1350.4075824599786,833.3333333333333,0.0,0.0,8.76323245997861,0.3859,2299.331574794209,3049.331574794209
2025-10-19,22:10-22:20,559.0573051561342,559.0573051561342,18.40383848946759,0.0,-0.0,0.0,0.4368,3049.331574794209,3065.8950294347296
2025-10-19,22:20-22:30,1322.9583333333333,1322.9583333333333,758.6466666666669,0.0,2.2737367544323206e-13,0.0,0.4198,3065.8950294347296,3748.67702943473
2025-10-19,22:30-22:40,1373.357446761978,1373.357446761978,828.1592634286446,0.0,0.0,1.1368683772161603e-13,0.4186,3748.67702943473,4494.02036652051
2025-10-19,22:40-22:50,1369.5767256548154,1369.5767256548154,833.3333333333333,0.0,0.0,1.49242565481552,0.4241,4494.02036652051,5244.02036652051
2025-10-19,22:50-23:00,1351.972393511265,1351.972393511265,803.2990601779319,0.0,2.2737367544323206e-13,0.0,0.4237,5244.02036652051,5966.989520680649
2025-10-19,23:00-23:10,1001.9301667880115,1001.9301667880117,444.3949167880115,0.0,0.0,1.1368683772161603e-13,0.4248,5966.989520680649,6366.944945789859
2025-10-19,23:10-23:20,1354.7046828123655,1353.9052438618712,776.717627195204,0.0,0.0,4.547473508864641e-13,0.424,6366.944945789859,7065.990810265543
2025-10-19,23:20-23:30,1395.943141612128,1395.943141612128,806.2148082787946,0.0,0.0,1.1368683772161603e-13,0.422,7065.990810265543,7791.584137716458
2025-10-19,23:30-23:40,1405.9768571153602,1405.9768571153602,833.3333333333333,0.0,0.0,13.707840448693673,0.424,7791.584137716458,8541.584137716458
