时间段,购电_kWh,充电_kWh,放电_kWh,时段初SOC_kWh,时段末SOC_kWh
05:10-05:20,589.4851833333333,0.0,0.0,10050.0,10050.0
05:20-05:30,578.45545,0.0,0.0,10050.0,10050.0
05:30-05:40,1383.6597833333335,833.3333333333334,0.0,10050.0,10800.0
05:40-05:50,591.1401999999999,0.0,0.0,10800.0,10800.0
05:50-06:00,0.0,0.0,668.2538833333333,10800.0,10057.495685185186
06:00-06:10,0.0,0.0,655.4553333333334,10057.495685185186,9329.211981481481
06:10-06:20,0.0,0.0,616.5040333333334,9329.211981481481,8644.2075
06:20-06:30,0.0,0.0,591.4544833333334,8644.2075,7987.0358518518515
06:30-06:40,0.0,0.0,557.4868666666666,7987.0358518518515,7367.606
06:40-06:50,0.0,0.0,529.2397,7367.606,6779.5618888888885
06:50-07:00,0.0,0.0,502.4707166666667,6779.5618888888885,6221.261092592593
07:00-07:10,0.0,0.0,455.44356666666675,6221.261092592593,5715.2126851851845
07:10-07:20,0.0,0.0,410.0667,5715.2126851851845,5259.583018518519
07:20-07:30,0.0,0.0,356.99678333333327,5259.583018518519,4862.919925925926
07:30-07:40,0.0,0.0,283.36356666666666,4862.919925925926,4548.071518518518
07:40-07:50,0.0,0.0,320.6841166666666,4548.071518518518,4191.755833333333
07:50-08:00,0.0,0.0,418.4214499999999,4191.755833333333,3726.8431111111113
08:00-08:10,0.0,0.0,381.9107833333333,3726.8431111111113,3302.4977962962967
08:10-08:20,0.0,0.0,309.5563499999999,3302.4977962962967,2958.5462962962965
08:20-08:30,0.0,0.0,264.61940000000004,2958.5462962962965,2664.524740740741
08:30-08:40,0.0,0.0,213.74080000000004,2664.524740740741,2427.034962962963
08:40-08:50,0.0,0.0,178.5589166666667,2427.034962962963,2228.6361666666667
08:50-09:00,0.0,0.0,155.39211666666674,2228.6361666666667,2055.978259259259
09:00-09:10,0.0,0.0,112.25950000000012,2055.978259259259,1931.2454814814814
09:10-09:20,0.0,0.0,64.39686666666664,1931.2454814814814,1859.693407407407
09:20-09:30,0.0,0.0,22.56224999999995,1859.693407407407,1834.6242407407408
09:30-09:40,0.0,17.42406666666663,0.0,1834.6242407407408,1850.305900740741
09:40-09:50,0.0,52.83776666666669,0.0,1850.305900740741,1897.8598907407413
09:50-10:00,0.0,84.56241666666665,0.0,1897.8598907407413,1973.9660657407412
10:00-10:10,0.0,116.98358333333333,0.0,1973.9660657407412,2079.2512907407413
10:10-10:20,0.0,146.66060000000002,0.0,2079.2512907407413,2211.2458307407414
10:20-10:30,0.0,173.52025000000003,0.0,2211.2458307407414,2367.4140557407413
10:30-10:40,0.0,201.0290833333332,0.0,2367.4140557407413,2548.3402307407414
10:40-10:50,0.0,225.40611666666655,0.0,2548.3402307407414,2751.205735740741
10:50-11:00,0.0,244.00925000000007,0.0,2751.205735740741,2970.8140607407413
11:00-11:10,575.1709166666667,833.3333333333334,0.0,2970.8140607407413,3720.8140607407413
