problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
3,2610097,78,12,0,2933.859065,244.488255416667,11279.2953168731,102,96,4,7,74,72,18,28,24,2,0.304034
3,2610098,78,11,0,2836.172305,257.833845909091,10570.861525956,110,102,5,7,88,85,25,22,17,3,0.164836291
3,2610099,78,11,0,3316.550103,301.504554818182,12397.7505242739,131,121,2,7,104,102,41,27,19,2,0.101864583
3,2610100,78,14,0,2988.955655,213.4968325,11384.7782775171,107,101,2,7,71,70,29,36,31,1,0.233190125
3,2610101,78,15,0,3191.842194,212.7894796,12394.2109846505,105,98,5,7,70,68,35,35,30,2,0.326062167
3,2610102,78,11,0,2639.764733,239.978612090909,9593.82367452489,111,108,1,7,85,84,22,26,24,1,0.16795025
3,2610103,78,13,0,3075.342481,236.564806230769,11306.7124169231,123,113,7,7,86,84,37,37,29,2,0.262999958
3,2610104,78,15,0,3261.409154,217.427276933333,12142.0457627345,125,118,5,7,86,84,51,39,34,2,0.209802708
3,2610105,78,14,0,3072.133945,219.438138928571,11705.6697242175,110,99,4,7,82,80,40,28,19,2,0.186325667
3,2610106,78,14,0,3146.883314,224.777379571429,11974.4165617241,113,105,4,7,81,79,39,32,26,2,0.170055958
3,2610107,78,12,0,3185.476283,265.456356916667,11922.3814090151,123,111,5,7,97,95,41,26,16,2,0.135038833
3,2610108,78,10,0,3142.476735,314.2476735,11632.3836821452,126,118,6,7,105,104,35,21,14,1,0.157875166
3,2610109,78,14,0,3301.137989,235.795570642857,12610.6899483898,116,108,7,7,84,83,42,32,25,1,0.164604667
3,2610110,78,11,0,2807.389701,255.217245545455,10056.9484971536,122,113,6,7,95,93,32,27,20,2,0.081734291
3,2610111,78,14,0,3569.979781,254.998555785714,14084.8989226133,113,106,4,7,82,81,40,31,25,1,0.2057675
3,2610112,78,14,0,3101.474251,221.533875071429,11697.3712462656,114,104,6,7,77,76,35,37,28,1,0.194035
3,2610113,78,16,0,2875.183435,179.6989646875,11360.9171781896,87,82,2,5,49,48,29,38,34,1,0.401959917
3,2610114,78,14,0,2892.437014,206.602643857143,10972.1850812835,105,100,1,7,70,69,28,35,31,1,0.178800042
3,2610115,78,15,0,2936.677141,195.778476066667,11353.385696686,99,90,2,7,64,63,29,35,27,1,0.196524958
3,2610116,78,14,0,3209.546191,229.253299357143,11722.7309459865,129,123,9,7,94,93,52,35,30,1,0.155270334
3,2610117,78,14,0,3312.05267,236.575190714286,13195.2633610982,101,92,2,7,71,70,29,30,22,1,0.210587958
3,2610118,78,11,0,2681.281271,243.752842818182,9716.40635785683,114,104,3,7,87,85,24,27,19,2,0.217761167
3,2610119,78,10,0,2912.819981,291.2819981,10684.0999092742,121,112,3,7,94,93,24,27,19,1,0.111442708
3,2610120,78,15,0,3471.669216,231.4446144,13498.3460882459,116,108,3,7,85,82,50,31,26,3,0.219989541
3,2610121,78,15,0,3053.892339,203.5928226,11419.4616867692,115,105,5,7,75,73,40,40,32,2,0.3160895
3,2610122,78,13,0,2854.224038,219.555695230769,10651.1201958618,110,106,1,7,80,79,31,30,27,1,0.234499833
3,2610123,78,16,0,3256.926071,203.5578794375,12679.630345821,106,99,4,7,67,66,39,39,33,1,0.238052792
3,2610124,78,15,0,3073.682916,204.9121944,11963.4145735908,101,95,2,7,65,63,30,36,32,2,0.274106167
3,2610125,78,15,0,3229.87083,215.324722,12509.3541591285,109,102,2,7,77,76,42,32,26,1,0.2297005
3,2610126,78,12,0,2900.693548,241.724462333333,11008.4677244345,105,96,6,7,77,74,21,28,22,3,0.269307708
3,2610127,78,16,0,3160.042438,197.502652375,12460.2121934937,98,89,3,7,65,63,37,33,26,2,0.389877208
3,2610128,78,13,0,2910.399303,223.876869461538,10956.9965215193,108,102,4,7,79,78,30,29,24,1,0.207993792
3,2610129,78,15,0,3034.158224,202.277214933333,11830.7911273488,96,89,8,7,61,60,26,35,29,1,0.855727375
3,2610130,78,10,0,2830.156421,283.0156421,10370.7821155533,115,107,8,7,94,92,24,21,15,2,0.18634925
3,2610131,78,10,0,3216.350124,321.6350124,12261.7506178772,117,108,7,7,98,96,28,19,12,2,0.201666375
3,2610132,78,12,0,3044.558535,253.71321125,11427.7926711095,116,110,3,7,93,91,37,23,19,2,0.205519625
3,2610133,78,11,0,2741.216163,249.201469363636,9746.08081780488,123,116,2,7,97,95,34,26,21,2,0.168315916
3,2610134,78,16,0,3081.818416,192.613651,12114.0920771182,97,91,1,6,62,60,38,35,31,2,0.279104333
3,2610135,78,11,0,2636.002318,239.636574363636,9720.01159337851,107,102,0,7,84,83,21,23,19,1,0.193589584
3,2610136,78,16,0,2953.538813,184.5961758125,11132.6940785867,105,98,8,5,64,63,44,41,35,1,0.3187255
3,2610137,78,16,0,2732.518881,170.7824300625,10202.5944059991,101,95,4,6,63,61,39,38,34,2,0.237245292
3,2610138,78,16,0,3350.267017,209.3916885625,13321.3350880776,100,91,5,6,61,60,37,39,31,1,0.259483208
3,2610139,78,11,0,2871.456142,261.041467454545,10272.2807189874,128,119,1,7,100,98,37,28,21,2,0.1021595
3,2610140,78,13,0,2896.575835,222.813525769231,10287.8791774917,129,117,4,7,95,93,46,34,24,2,0.110130333
3,2610141,78,16,0,3346.440417,209.1525260625,12647.2020771685,120,110,9,7,77,76,49,43,34,1,0.181365417
3,2610142,78,10,0,2831.975474,283.1975474,10069.8773613006,127,118,5,7,104,101,34,23,17,3,0.111436666
3,2610143,78,10,0,2928.058472,292.8058472,10390.2923503466,131,124,7,7,109,108,39,22,16,1,0.056605041
3,2610144,78,15,0,3133.0324,208.868826666667,12060.1619921241,108,103,1,7,73,72,38,35,31,1,0.248618833
3,2610145,78,12,0,3002.699404,250.224950333333,11118.497005705,119,112,4,7,89,87,33,30,25,2,0.162335833
3,2610146,78,15,0,2799.738938,186.649262533333,10743.694700512,96,90,2,7,60,58,25,36,32,2,0.214132084
3,2610147,78,16,0,3376.039226,211.002451625,13280.1961307185,104,99,7,6,70,68,46,34,31,2,0.199490708
3,2610148,78,15,0,2912.328501,194.1552334,10936.6425022559,105,95,10,7,66,63,31,39,32,3,0.249149084
3,2610149,78,14,0,3246.887516,231.920536857143,12519.4375695783,112,107,2,7,77,76,35,35,31,1,0.219677583
3,2610150,78,13,0,3158.879619,242.990739923077,12139.3980848474,110,104,4,7,77,76,28,33,28,1,0.198582042
3,2610151,78,12,0,2985.48856,248.790713333333,11087.4427805066,117,111,4,7,91,90,35,26,21,1,0.113226334
3,2610152,78,15,0,3631.240625,242.082708333333,14306.2031250874,114,104,7,7,76,74,41,38,30,2,0.251750167
3,2610153,78,11,0,2807.881947,255.261995181818,10274.409734085,116,109,3,7,89,86,26,27,23,3,0.181628625
3,2610154,78,15,0,3133.691917,208.912794466667,12268.459578215,100,96,3,7,66,65,31,34,31,1,0.338408458
3,2610155,78,14,0,2907.863503,207.704535928571,11179.3175098684,100,93,3,7,72,70,30,28,23,2,0.28010175
3,2610156,78,10,0,2747.751966,274.7751966,10033.7598351917,115,107,3,7,89,87,19,26,20,2,0.3504445
3,2610157,78,15,0,3364.087206,224.2724804,12970.4360443101,116,109,2,7,89,87,54,27,22,2,0.177610667
3,2610158,78,16,0,2856.098214,178.506138375,11380.4910670231,84,77,1,4,47,46,31,37,31,1,0.395413709
3,2610159,78,13,0,3030.761355,233.135488846154,11653.806776288,106,102,1,7,81,80,32,25,22,1,0.249780042
3,2610160,78,13,0,3169.201856,243.784758153846,12136.0092816488,111,104,6,7,77,76,28,34,28,1,0.392948375
3,2610161,78,15,0,3098.223642,206.5482428,12121.1182062845,99,95,3,7,69,68,34,30,27,1,0.336180958
3,2610162,78,15,0,3180.664894,212.044326266667,12023.3244622245,114,110,7,7,81,80,46,33,30,1,0.241088792
3,2610163,78,12,0,2801.200759,233.433396583333,10451.0037979686,108,102,3,7,82,80,26,26,22,2,0.207704875
3,2610164,78,10,0,2995.666898,299.5666898,10863.334492894,127,120,6,7,102,101,32,25,19,1,0.150433167
3,2610165,78,13,0,2921.298829,224.715294538462,10946.494154126,111,106,2,7,81,79,32,30,27,2,0.13818075
3,2610166,78,11,0,3302.025205,300.184109545455,12630.1260156675,119,111,5,7,97,96,34,22,15,1,0.146928792
3,2610167,78,15,0,3142.919987,209.527999133333,11989.599934296,111,100,5,7,74,72,39,37,28,2,0.247207333
3,2610168,78,10,0,2885.075831,288.5075831,10585.3791610848,119,111,4,7,93,91,23,26,20,2,0.134246459
3,2610169,78,14,0,2995.46398,213.961712857143,11097.3199002599,115,104,9,7,79,77,37,36,27,2,0.266387917
3,2610170,78,16,0,2766.578046,172.911127875,10602.8902343417,94,84,4,6,56,55,32,38,29,1,0.236644375
3,2610171,78,10,0,2866.86939,286.686939,10404.3469392645,120,112,8,7,97,95,27,23,17,2,0.1095575
3,2610172,78,12,0,2934.110804,244.509233666667,11140.5540201357,108,103,1,7,80,79,24,28,24,1,0.14756125
3,2610173,78,15,0,2992.648903,199.509926866667,11548.2444958781,102,95,1,7,68,67,33,34,28,1,0.330227
3,2610174,78,14,0,3223.377578,230.241255571429,12426.8878881176,110,100,6,7,80,78,38,30,22,2,0.120841708
3,2610175,78,13,0,3068.417481,236.032113923077,11367.0873855171,121,107,6,7,80,77,31,41,30,3,0.233839042
3,2610176,78,14,0,3300.797965,235.771283214286,12643.9898225583,116,110,4,7,82,81,40,34,29,1,0.267632459
3,2610177,78,15,0,2920.715684,194.714378933333,10958.578408933,106,100,8,7,66,65,31,40,35,1,0.335917917
3,2610178,78,13,0,3373.214741,259.478057,12781.0737214944,122,115,9,7,93,91,44,29,24,2,0.315455875
3,2610179,78,15,0,3171.698928,211.4465952,12258.4946375358,106,97,6,7,67,66,32,39,31,1,0.430493375
