problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
4,2610079,78,15,11,6808.242846,453.8828564,26201.2142992205,218,205,66,21,190,179,85,28,26,11,1.089129625
4,2610080,78,14,2,5552.440668,396.602904857143,21047.2033438435,208,197,12,21,183,174,57,25,23,9,1.214135
4,2610081,78,13,12,5897.181164,453.629320307692,21965.9058074488,231,218,22,21,204,193,57,27,25,11,1.536205583
4,2610082,78,16,8,4181.021716,261.31385725,16225.1085874949,140,135,7,10,112,110,72,28,25,2,1.113390916
4,2610083,78,12,2,5613.540971,467.795080916667,20687.7048520404,229,214,19,21,213,199,45,16,15,14,0.832074625
4,2610084,78,12,7,5502.334976,458.527914666667,20596.6748718304,220,205,6,21,199,184,31,21,21,15,1.038014834
4,2610085,78,10,2,5756.234311,575.6234311,20701.171568615,260,245,7,21,238,226,28,22,19,12,1.024395708
4,2610086,78,15,7,5709.860971,380.657398066667,21929.3048586328,206,192,9,21,177,166,72,29,26,11,1.508900792
4,2610087,78,14,2,5292.39913,378.028509285714,20371.9956524877,191,178,5,21,166,154,40,25,24,12,1.585310458
4,2610088,78,14,1,5421.865072,387.276076571429,19874.3253680138,228,213,8,21,202,188,76,26,25,14,1.448726292
4,2610089,78,12,10,5757.595748,479.799645666667,21002.9787454786,250,235,4,21,227,215,59,23,20,12,0.813669
4,2610090,78,16,6,5070.444397,316.9027748125,19732.2219926645,171,159,10,17,135,128,67,36,31,7,2.764981709
4,2610091,78,11,3,5770.031915,524.548355909091,20385.1595551756,266,251,19,21,245,232,56,21,19,13,1.085874625
4,2610092,78,15,1,5273.869074,351.5912716,20329.3453734204,190,177,2,21,161,148,56,29,29,13,1.994924792
4,2610093,78,11,9,5754.270552,523.115504727273,20776.3527533358,252,239,15,21,238,225,49,14,14,13,0.921161
4,2610094,78,13,3,5479.873991,421.528768538462,20824.3699688146,206,196,8,21,178,170,31,28,26,8,1.943752042
4,2610095,78,16,11,4886.866066,305.429129125,17699.3303369935,208,200,9,14,177,173,121,31,27,4,1.219961375
4,2610096,78,13,3,5867.409913,451.339224076923,21182.0495616538,261,252,3,21,239,231,92,22,21,8,1.162925375
4,2610097,78,12,1,5608.283712,467.356976,20821.4185612397,229,212,9,21,201,188,33,28,24,13,1.346428041
4,2610098,78,11,2,5460.094979,496.372270818182,19550.4749015751,249,238,4,21,229,218,40,20,20,11,1.007939333
4,2610099,78,11,9,5857.082183,532.462016636364,20460.4109329783,278,263,19,21,264,250,75,14,13,14,0.569627542
4,2610100,78,14,9,5578.37981,398.455700714286,21436.8990746452,200,188,11,21,174,163,48,26,25,11,1.633101584
4,2610101,78,15,4,5288.869458,352.5912972,20404.3472898759,190,177,2,21,159,148,54,31,29,11,2.016467958
4,2610102,78,11,5,6007.424201,546.129472818182,21947.1210168355,254,236,19,21,229,216,40,25,20,13,0.828042959
4,2610103,78,13,12,6019.200895,463.015453461538,21596.0044760941,269,260,10,21,245,237,98,24,23,8,1.020401708
4,2610104,78,15,3,5763.165968,384.211064533333,21760.8298338883,219,205,12,21,193,181,88,26,24,12,1.579804667
4,2610105,78,14,7,5678.588325,405.613451785714,20682.9416307803,241,231,12,21,215,206,89,26,25,9,0.808153583
4,2610106,78,14,4,5795.732516,413.980894,21918.6625821921,221,204,11,21,198,187,72,23,17,11,1.078342166
4,2610107,78,12,7,5774.015644,481.167970333333,20750.0782059965,258,247,9,21,241,231,73,17,16,10,0.434849416
4,2610108,78,10,9,6108.379824,610.8379824,21171.8991174635,298,286,16,21,279,270,69,19,16,9,0.635357583
4,2610109,78,14,1,5323.776455,380.269746785714,20093.8822753936,203,187,11,21,180,169,54,23,18,11,0.875018084
4,2610110,78,11,5,5872.208915,533.837174090909,20726.044562508,274,260,14,21,255,243,66,19,17,12,0.5215285
4,2610111,78,14,1,5604.248127,400.303437642857,21261.2406319261,212,201,7,21,185,175,59,27,26,10,1.306365041
4,2610112,78,14,13,6228.493308,444.892379142857,23512.466547014,235,224,19,21,213,203,87,22,21,10,0.864094167
4,2610113,78,16,14,5129.993425,320.6245890625,19499.9671431939,176,168,34,17,153,146,85,23,22,7,1.017806333
4,2610114,78,14,9,5435.164651,388.2260465,21150.8232464269,189,175,5,21,163,151,37,26,24,12,1.17878575
4,2610115,78,15,5,5433.47705,362.231803333333,21467.3852391046,177,165,5,21,147,135,42,30,30,12,1.451001042
4,2610116,78,14,1,5481.10843,391.507745,20425.5421466636,221,209,4,21,197,186,71,24,23,11,1.035495541
4,2610117,78,14,5,5985.023866,427.501704714286,22560.1193511709,222,209,28,21,200,188,74,22,21,12,1.021586333
4,2610118,78,11,10,5569.439059,506.312641727273,19697.1952974225,263,251,3,21,243,234,54,20,17,9,0.804571166
4,2610119,78,10,8,5705.818217,570.5818217,19604.09108432,287,276,8,21,263,253,53,24,23,10,1.040716666
4,2610120,78,15,14,6890.110544,459.340702933333,27335.5527327711,210,199,33,21,185,175,80,25,24,10,0.668912416
4,2610121,78,15,6,5567.510169,371.1673446,21087.5508708635,210,198,9,21,188,177,83,22,21,11,0.936361708
4,2610122,78,13,3,5490.767401,422.366723153846,20108.8370118563,233,218,7,21,207,194,60,26,24,13,1.129079458
4,2610123,78,16,9,5967.927799,372.9954874375,22264.6390346823,223,215,35,20,196,189,116,27,26,7,0.803380542
4,2610124,78,15,5,5673.588562,378.239237466667,21602.9427718995,201,186,29,21,172,161,67,29,25,11,1.978096
4,2610125,78,15,5,5818.774365,387.918291,23078.871802661,188,173,5,21,161,151,56,27,22,10,1.068449584
4,2610126,78,12,9,5601.404349,466.78369575,20172.0217398306,247,233,13,21,222,209,54,25,24,13,0.975137625
4,2610127,78,16,11,5615.328876,350.95805475,21356.644400487,206,192,14,20,177,168,97,29,24,9,1.133931416
4,2610128,78,13,12,6303.06289,484.850991538462,23145.3144479412,263,246,16,21,240,227,93,23,19,13,0.589401042
4,2610129,78,15,6,5815.717832,387.714522133333,22243.5892118921,201,188,33,21,175,163,70,26,25,12,1.269319958
4,2610130,78,10,7,6491.554816,649.1554816,23207.774058635,296,284,12,21,276,266,66,20,18,10,0.5876415
4,2610131,78,10,1,5531.959094,553.1959094,19144.7954793458,277,265,1,21,258,247,48,19,18,11,0.723699584
