problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,weighted_gap_ratio,max_relative_gap,skipped,runtime_s,certificate
3,510013,3,16,16,4208.948061,263.0592538125,17719.74029966,99,90,0,1,0,0,0,0,0,0,0,0,1,0.0006691,upper_bound_16
3,510013,4,16,16,4208.948061,263.0592538125,17719.74029966,99,90,0,1,22,22,22,0,0,0,0,0,1,0.0023379,upper_bound_16
3,510013,5,16,16,4154.369181,259.6480738125,17701.84590362,90,84,0,0,22,20,22,0,539.3445621065,25.02106779889,0.003875883357169,0.05061408046525,1,0.0051034,upper_bound_16
3,510014,0,15,15,3754.764284,250.3176189333,15578.82143959,95,86,1,0,0,0,0,0,0,0,0,0,0,0.0010566,seven_point_per_channel
3,510014,1,15,15,3981.168383,265.4112255333,16800.84192336,92,86,0,0,0,0,0,0,0,0,0,0,0,0.0010072,seven_point_per_channel
3,510014,2,15,15,4192.895684,279.5263789333,17859.47842763,92,86,0,0,0,0,0,0,0,0,0,0,0,0.0009879,seven_point_per_channel
3,510014,3,15,15,3754.764284,250.3176189333,15578.82143959,95,86,1,0,0,0,0,0,0,0,0,0,0,0.0009817,seven_point_per_channel
3,510014,4,15,15,3754.764284,250.3176189333,15578.82143959,95,86,1,0,22,18,22,0,793.4060683129,111.0272702546,0.02362011709801,0.09972437772593,0,0.0038076,seven_point_per_channel
3,510014,5,15,15,3432.836176,228.8557450667,14109.18088485,90,86,0,0,22,16,22,0,659.6963462202,128.4531896668,0.02399740431123,0.07198419486733,0,0.0044007,seven_point_per_channel
3,510015,0,11,11,2882.016473,262.0014975455,11250.08237295,97,92,0,0,0,0,0,0,0,0,0,0,0,0.0006389,seven_point_per_channel
3,510015,1,11,11,2989.424595,271.7658722727,11787.12297241,97,92,0,0,0,0,0,0,0,0,0,0,0,0.0006229,seven_point_per_channel
3,510015,2,11,11,3054.414872,277.6740792727,12112.07436329,97,92,0,0,0,0,0,0,0,0,0,0,0,0.0006216,seven_point_per_channel
3,510015,3,11,11,2882.016473,262.0014975455,11250.08237295,97,92,0,0,0,0,0,0,0,0,0,0,0,0.0006108,seven_point_per_channel
3,510015,4,11,11,2882.016473,262.0014975455,11250.08237295,97,92,0,0,18,18,18,0,0,0,0,0,0,0.0051417,seven_point_per_channel
3,510015,5,11,11,3310.307428,300.9370389091,13116.53714025,106,102,0,0,18,18,18,0,0,0,0,0,0,0.0028462,seven_point_per_channel
3,510016,0,12,12,3438.328405,286.5273670833,13761.64202916,106,96,0,0,0,0,0,0,0,0,0,0,0,0.0007278,seven_point_per_channel
3,510016,1,12,12,3663.668289,305.30569075,14888.34145523,106,96,0,0,0,0,0,0,0,0,0,0,0,0.0007698,seven_point_per_channel
3,510016,2,12,12,3851.684628,320.973719,15853.42313828,105,96,0,0,0,0,0,0,0,0,0,0,0,0.0007172,seven_point_per_channel
3,510016,3,12,12,3438.328405,286.5273670833,13761.64202916,106,96,0,0,0,0,0,0,0,0,0,0,0,0.0007426,seven_point_per_channel
3,510016,4,12,12,3438.328405,286.5273670833,13761.64202916,106,96,0,0,19,18,19,0,1036.292484272,54.54170969855,0.01405249857135,0.1281362771159,0,0.0045222,seven_point_per_channel
3,510016,5,12,12,3369.164192,280.7636826667,13635.82095528,98,92,0,0,19,16,19,0,1009.662374414,126.961160156,0.02379930736442,0.1090681783916,0,0.0043085,seven_point_per_channel
3,510017,0,14,14,3047.696153,217.6925823571,12268.48075996,88,78,2,0,0,0,0,0,0,0,0,0,0,0.0015623,seven_point_per_channel
3,510017,1,14,14,3194.947741,228.2105529286,13029.73870886,87,78,2,0,0,0,0,0,0,0,0,0,0,0.0015323,seven_point_per_channel
3,510017,2,14,14,3374.719613,241.0514009286,13928.59806489,87,78,2,0,0,0,0,0,0,0,0,0,0,0.0014694,seven_point_per_channel
3,510017,3,14,14,3047.696153,217.6925823571,12268.48075996,88,78,2,0,0,0,0,0,0,0,0,0,0,0.0014812,seven_point_per_channel
3,510017,4,14,14,3047.696153,217.6925823571,12268.48075996,88,78,2,0,21,15,21,0,870.7053643211,160.9048298585,0.03625746523189,0.1082381489022,0,0.0054929,seven_point_per_channel
3,510017,5,14,14,3200.397334,228.5998095714,13101.98666618,86,77,1,0,21,14,21,0,717.4784673861,114.7549082467,0.01810944944239,0.07788580135535,0,0.0046431,seven_point_per_channel
3,510018,0,10,10,3048.646376,304.8646376,11803.23188867,107,103,0,0,0,0,0,0,0,0,0,0,0,0.0004716,seven_point_per_channel
3,510018,1,10,10,3239.818567,323.9818567,12784.0928344,106,103,0,0,0,0,0,0,0,0,0,0,0,0.0004624,seven_point_per_channel
3,510018,2,10,10,3397.174199,339.7174199,13570.87100827,106,103,0,0,0,0,0,0,0,0,0,0,0,0.0004499,seven_point_per_channel
3,510018,3,10,10,3048.646376,304.8646376,11803.23188867,107,103,0,0,0,0,0,0,0,0,0,0,0,0.0004517,seven_point_per_channel
3,510018,4,10,10,3048.646376,304.8646376,11803.23188867,107,103,0,0,17,17,17,0,0,0,0,0,0,0.0015291,seven_point_per_channel
3,510018,5,10,10,3063.785735,306.3785735,11803.92867403,110,103,0,0,17,17,17,0,0,0,0,0,0,0.0017602,seven_point_per_channel
