case_id,problem,seed,n,nd,nb,geometry,radius,error,outward,eigen_ratio,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
66,3,710067,10,0,0,2,1000,1,0,0.3826843961818,5,10,2633.790908,263.3790908,10178.9545312,92,85,1,0,0.0045484,seven_point_per_channel
67,3,710068,10,0,0,2,1250,2,1,0.3861684161523,0,10,3091.6574,309.16574,12508.28699836,91,85,0,0,0.0006242,seven_point_per_channel
67,3,710068,10,0,0,2,1250,2,1,0.3861684161523,5,10,2592.106817,259.2106817,9840.534090818,96,85,3,1,0.0045966,seven_point_per_channel
68,3,710069,10,0,0,2,1500,3,0,0.1942109463943,0,10,2982.455248,298.2455248,11967.27623534,91,84,0,0,0.0007156,seven_point_per_channel
68,3,710069,10,0,0,2,1500,3,0,0.1942109463943,5,10,2723.958888,272.3958888,10669.79444038,91,85,0,0,0.0044109,seven_point_per_channel
69,3,710070,10,0,0,2,1000,4,1,0.238721520084,0,10,3147.062193,314.7062193,12815.31095102,90,84,0,0,0.0006306,seven_point_per_channel
69,3,710070,10,0,0,2,1000,4,1,0.238721520084,5,10,2866.736977,286.6736977,11263.68487569,94,85,3,0,0.0044694,seven_point_per_channel
70,3,710071,10,0,0,2,1250,0,0,0.6557238735627,0,10,2909.049829,290.9049829,11595.24914899,91,85,0,0,0.0006447,seven_point_per_channel
70,3,710071,10,0,0,2,1250,0,0,0.6557238735627,5,10,2759.244963,275.9244963,10871.22482475,90,85,0,0,0.0039203,seven_point_per_channel
71,3,710072,10,0,0,2,1500,1,1,0.1165533462337,0,10,3266.516226,326.6516226,13372.58114104,91,84,1,0,0.0006008,seven_point_per_channel
71,3,710072,10,0,0,2,1500,1,1,0.1165533462337,5,10,2731.318193,273.1318193,10456.59096367,98,85,5,0,0.0045705,seven_point_per_channel
72,3,710073,10,0,0,2,1000,2,0,0.1624139774476,0,10,3262.264742,326.2264742,13281.32370854,93,85,2,0,0.0007496,seven_point_per_channel
72,3,710073,10,0,0,2,1000,2,0,0.1624139774476,5,10,2605.424075,260.5424075,9932.120372156,95,85,3,0,0.0045544,seven_point_per_channel
73,3,710074,10,0,0,2,1250,3,1,0.7479411987631,0,10,3127.174786,312.7174786,12690.87393455,91,84,0,0,0.0006179,seven_point_per_channel
73,3,710074,10,0,0,2,1250,3,1,0.7479411987631,5,10,2346.053967,234.6053967,8810.269834824,90,84,0,0,0.0038347,seven_point_per_channel
74,3,710075,10,0,0,2,1500,4,0,0.3964996982544,0,10,3226.485011,322.6485011,13212.4250501,90,84,0,0,0.0006249,seven_point_per_channel
74,3,710075,10,0,0,2,1500,4,0,0.3964996982544,5,10,2619.406073,261.9406073,10052.03035777,93,85,3,0,0.0046699,seven_point_per_channel
75,3,710076,10,0,0,2,1000,0,1,0.5267797244442,0,10,2983.320298,298.3320298,11921.60148859,93,84,0,0,0.0006409,seven_point_per_channel
75,3,710076,10,0,0,2,1000,0,1,0.5267797244442,5,10,2461.291453,246.1291453,9361.457268107,91,84,0,0,0.0046244,seven_point_per_channel
76,3,710077,10,0,0,2,1250,1,0,0.1515495803995,0,10,3114.508075,311.4508075,12607.54037656,91,85,1,0,0.0006294,seven_point_per_channel
76,3,710077,10,0,0,2,1250,1,0,0.1515495803995,5,10,2913.204873,291.3204873,11556.0243656,92,86,2,0,0.0045119,seven_point_per_channel
77,3,710078,10,0,0,2,1500,2,1,0.5904951183128,0,10,3076.398166,307.6398166,12461.9908354,90,84,0,0,0.0006496,seven_point_per_channel
77,3,710078,10,0,0,2,1500,2,1,0.5904951183128,5,10,2573.944377,257.3944377,9909.721889413,91,84,1,0,0.0045277,seven_point_per_channel
78,3,710079,10,0,0,2,1000,3,0,0.2095590278926,0,10,3197.366256,319.7366256,13041.83127944,91,84,0,0,0.0006593,seven_point_per_channel
78,3,710079,10,0,0,2,1000,3,0,0.2095590278926,5,10,2537.652196,253.7652196,9718.260990339,92,84,0,0,0.0043254,seven_point_per_channel
79,3,710080,10,0,0,2,1250,4,1,0.4056579203774,0,10,3209.197951,320.9197951,13015.98975606,93,85,2,1,0.0006218,seven_point_per_channel
79,3,710080,10,0,0,2,1250,4,1,0.4056579203774,5,10,2579.096736,257.9096736,9815.483670207,95,85,2,1,0.0047429,seven_point_per_channel
80,3,710081,10,0,0,2,1500,0,0,0.4041914183832,0,10,3159.863661,315.9863661,12854.3183112,91,84,0,0,0.0006233,seven_point_per_channel
80,3,710081,10,0,0,2,1500,0,0,0.4041914183832,5,10,2569.287569,256.9287569,9886.437850654,91,84,1,0,0.0048303,seven_point_per_channel
81,3,710082,10,0,0,2,1000,1,1,0.4177564673646,0,10,3162.874906,316.2874906,12894.37452873,90,84,0,0,0.0006231,seven_point_per_channel
81,3,710082,10,0,0,2,1000,1,1,0.4177564673646,5,10,2399.575763,239.9575763,8997.878814827,92,84,2,0,0.0044581,seven_point_per_channel
82,3,710083,10,0,0,2,1250,2,0,0.1354051195423,0,10,3305.380669,330.5380669,13541.90334027,92,84,1,0,0.0006399,seven_point_per_channel
82,3,710083,10,0,0,2,1250,2,0,0.1354051195423,5,10,2776.094364,277.6094364,10695.47181911,98,85,4,0,0.0039027,seven_point_per_channel
83,3,710084,10,0,0,2,1500,3,1,0.5111425413928,0,10,3255.056736,325.5056736,13355.28367218,90,84,0,0,0.0006161,seven_point_per_channel
83,3,710084,10,0,0,2,1500,3,1,0.5111425413928,5,10,2290.475377,229.0475377,8532.376884696,90,84,0,0,0.0048634,seven_point_per_channel
