problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,skipped,runtime_s,certificate
3,10,0,14,14,4275.683777,305.4059840714,18133.4188888,98,89,0,0,0,0,0,0,0,0,0,0.0008618,seven_point_per_channel
3,10,1,14,14,4664.08028,333.1485914286,20010.4014066,100,89,1,0,0,0,0,0,0,0,0,0.0008738,seven_point_per_channel
3,10,2,14,14,4885.224008,348.944572,21131.12005042,100,89,0,0,0,0,0,0,0,0,0,0.0008519,seven_point_per_channel
3,10,3,14,14,4275.683777,305.4059840714,18133.4188888,98,89,0,0,0,0,0,0,0,0,0,0.0008424,seven_point_per_channel
3,10,4,14,14,4275.683777,305.4059840714,18133.4188888,98,89,0,0,21,19,21,0,743.4257873308,61.70614281826,0,0.0051711,seven_point_per_channel
3,10,5,14,14,3935.479104,281.1056502857,16267.39552844,103,97,0,0,21,21,21,0,0,0,0,0.0045458,seven_point_per_channel
3,11,0,10,10,3911.218244,391.1218244,15926.09122515,114,106,0,0,0,0,0,0,0,0,0,0.0003775,seven_point_per_channel
3,11,1,10,10,4232.606192,423.2606192,17468.03096024,116,106,1,1,0,0,0,0,0,0,0,0.0003886,seven_point_per_channel
3,11,2,10,10,4598.524421,459.8524421,19372.62211383,113,106,1,0,0,0,0,0,0,0,0,0.0005415,seven_point_per_channel
3,11,3,10,10,3911.218244,391.1218244,15926.09122515,114,106,0,0,0,0,0,0,0,0,0,0.0003794,seven_point_per_channel
3,11,4,10,10,3911.218244,391.1218244,15926.09122515,114,106,0,0,17,17,17,0,0,0,0,0.000643,seven_point_per_channel
3,11,5,10,10,3507.012153,350.7012153,13940.06077451,113,104,0,0,17,17,17,0,0,0,0,0.001467,seven_point_per_channel
3,12,0,13,13,3813.505475,293.346575,15507.52737322,109,102,0,0,0,0,0,0,0,0,0,0.0005319,seven_point_per_channel
3,12,1,13,13,4115.229386,316.5561066154,16991.14693329,110,102,0,0,0,0,0,0,0,0,0,0.0005318,seven_point_per_channel
3,12,2,13,13,4318.821793,332.217061,18009.10897639,110,102,0,0,0,0,0,0,0,0,0,0.0005179,seven_point_per_channel
3,12,3,13,13,3813.505475,293.346575,15507.52737322,109,102,0,0,0,0,0,0,0,0,0,0.0005217,seven_point_per_channel
3,12,4,13,13,3813.505475,293.346575,15507.52737322,109,102,0,0,20,20,20,0,0,0,0,0.0010497,seven_point_per_channel
3,12,5,13,13,3820.605989,293.8927683846,15578.02994455,108,100,0,0,20,20,20,0,0,0,0,0.0023025,seven_point_per_channel
