kind,date,baseline_yuan,main_yuan,saving_yuan
q4_2,2025-02-16,53955.518676999964,53576.002029651725,379.5166473482386
q4_2,2025-02-17,55028.76892549606,54360.184598340886,668.5843271551712
q4_2,2025-02-18,52152.67078791102,51335.70238392519,816.9684039858257
q4_2,2025-02-19,54048.54558264488,53550.20914272802,498.33643991686404
q4_2,2025-02-20,52615.14652659592,51864.32501604645,750.8215105494673
q4_2,2025-02-21,16703.924829752046,16274.139477527697,429.7853522243495
q4_2,2025-02-22,17248.760478059747,16907.48224832483,341.27822973491493
q4_2,2025-02-23,49942.298467969915,49117.42526521848,824.8732027514343
q4_2,2025-02-24,51524.02047979733,51253.31832455574,270.70215524158994
q4_2,2025-02-25,51742.332952385055,50727.12604667646,1015.2069057085973
q4_2,2025-02-26,50867.265910814895,50275.69088489954,591.5750259153574
q4_2,2025-02-27,46810.83233959689,45379.0591869842,1431.7731526126881
q4_2,2025-02-28,14970.507606438829,14587.58158958839,382.9260168504388
q4_2,2025-03-01,16661.556875375303,16404.71183997424,256.8450354010638
q4_2,2025-03-02,62720.76286285921,64371.07133751121,-1650.3084746520035
q4_2,2025-03-03,61964.11637912884,60947.95984500396,1016.1565341248788
q4_2,2025-03-04,49589.1422372736,48979.12452263868,610.017714634916
q4_2,2025-03-05,52811.813190820874,51719.83585277895,1091.977338041921
q4_2,2025-03-06,47337.522628324696,46524.86679893911,812.6558293855851
q4_2,2025-03-07,15555.789287970465,15254.089971920705,301.69931604976045
q4_2,2025-03-08,15041.29892076964,14818.8609400925,222.43798067713942
q4_2,2025-03-09,45883.978836900525,45137.20332422309,746.7755126774355
q4_2,2025-03-10,49041.01058403391,49323.743714512566,-282.7331304786567
q4_2,2025-03-11,45229.932634947014,44724.4159528562,505.51668209081254
q4_2,2025-03-12,46414.628273701135,45796.158153921766,618.4701197793693
q4_2,2025-03-13,46999.47530164189,50421.760266347126,-3422.2849647052353
q4_2,2025-03-14,14024.438158346224,13723.586688866118,300.85146948010515
