problem,n,nd,nb,geometry,vs25_saving_s,vs25_percent,movement_saving_s,measurement_saving_s,switch_saving_s,failed_clear_saving_s
4,13,3,13,2,1805.7080885333335,20.745677882561026,1297.974754529667,427.1666666666667,79.46666666666667,1.0999999999999999
4,13,7,0,0,1304.9669052333334,15.101383159332386,1115.5669051318002,162.0,28.6,-1.2000000000000002
4,13,7,0,1,1260.8089992666667,13.887018850957682,993.8756568047332,239.5,43.733333333333334,-16.3
4,13,7,0,2,1064.9924701666664,11.212857870446602,915.8258135448666,301.5,51.86666666666667,-204.2
4,13,7,7,0,1241.3285326666667,14.099119593024172,979.0285294022666,208.33333333333331,38.766666666666666,15.2
4,13,7,7,1,1431.7690997333334,15.507045670642771,1146.2357635739997,229.0,41.43333333333333,15.1
4,13,7,7,2,1236.8847632333332,13.594144506562614,935.9181015952666,349.0,63.96666666666667,-112.0
4,13,7,13,0,1183.8437775000004,13.098094908815588,870.3104421910666,261.6666666666667,46.666666666666664,5.2
4,13,7,13,1,1529.5781195000002,16.5015811117512,1259.0114527284668,236.0,41.86666666666667,-7.299999999999999
4,13,7,13,2,1497.6356894666667,16.51447551476541,1181.1690234598,274.3333333333333,50.13333333333333,-8.0
4,13,10,0,0,1825.4503307333327,18.898770426618974,1536.8503226528003,153.16666666666666,27.033333333333335,108.4
4,13,10,0,1,1394.3953070999996,13.980298306178716,1118.4953034906,256.3333333333333,45.36666666666667,-25.799999999999997
4,13,10,0,2,1152.5046539666669,11.088496594397709,904.1046595776663,337.66666666666663,61.233333333333334,-150.5
4,13,10,7,0,1228.0093338333327,13.271336636415212,941.2426632038666,218.66666666666669,40.6,27.5
4,13,10,7,1,1321.5927951666665,13.860959423130396,1039.5927944093332,238.33333333333331,44.46666666666667,-0.8
4,13,10,7,2,1632.6132503333333,17.320443123546966,1305.346583747267,264.1666666666667,47.1,16.0
4,13,10,13,0,817.3699739333332,8.766136708854228,538.2366373248664,276.8333333333333,50.8,-48.5
4,13,10,13,1,1243.6519569999998,12.956113213558377,967.2852910668,244.33333333333334,44.63333333333333,-12.600000000000001
4,13,10,13,2,1561.0944231666665,16.0565664768711,982.3944210284665,509.0,96.6,-26.9
4,16,3,0,0,1074.2827946666666,15.407923104516708,988.4827918150004,66.83333333333334,9.866666666666667,9.1
4,16,3,0,1,1033.5480366000002,14.197290420435865,849.0813651094,140.83333333333334,24.633333333333333,19.0
4,16,3,0,2,1177.7650384,26.24039171340407,1026.8317029259265,124.33333333333334,20.3,6.300000000000001
4,16,3,8,0,1062.2294555333335,13.96909171883544,964.6961204280667,92.0,15.533333333333333,-10.0
4,16,3,8,1,1155.7828361,15.944037262849738,933.0495022758665,187.5,34.03333333333333,1.2000000000000002
4,16,3,8,2,528.2948592,8.925111037486452,364.1615239576,132.66666666666669,25.466666666666665,6.0
4,16,3,16,0,1120.6546197666664,14.377967281810847,797.5879525976,258.0,48.36666666666667,16.7
4,16,3,16,1,1114.0327284000002,14.83673950035957,790.9993943094667,278.6666666666667,52.96666666666667,-8.6
4,16,3,16,2,1256.0560990000001,18.214543598785934,896.6227659539333,313.8333333333333,61.6,-16.0
4,16,8,0,0,907.1118008333332,11.3266064737004,841.5784657682001,64.0,9.333333333333334,-7.800000000000001
4,16,8,0,1,948.6976648000001,11.555838194990598,745.0643221396001,137.16666666666666,24.966666666666665,41.5
4,16,8,0,2,1502.233332166667,24.23395215967955,1261.866663756333,239.0,40.86666666666667,-39.5
4,16,8,8,0,922.6704796333336,10.91335609909516,751.2704753438,157.16666666666666,29.833333333333332,-15.600000000000001
4,16,8,8,1,1121.4889763333335,13.606689145526845,909.4556356923334,148.16666666666666,27.766666666666666,36.1
4,16,8,8,2,432.2666489333332,6.319065584476711,255.73331531446652,155.16666666666669,30.766666666666666,-9.4
4,16,8,16,0,705.8512544000001,8.325582251852644,519.7179198798666,194.66666666666666,36.56666666666667,-45.1
4,16,8,16,1,738.1667301000001,9.062836499926314,556.7333954760668,179.66666666666666,33.666666666666664,-31.9
4,16,8,16,2,1001.7066467,13.99109048608314,722.4399766718667,264.83333333333337,49.233333333333334,-34.8
4,16,13,0,0,847.8420984333333,9.050806034892819,729.5420963934,73.0,14.5,30.800000000000004
4,16,13,0,1,1139.2941527666665,11.713895409050606,833.2608105527331,226.33333333333331,39.5,40.2
4,16,13,0,2,830.3500455333335,10.968383776046748,658.4833919993334,416.0,71.26666666666667,-315.40000000000003
4,16,13,8,0,710.1963416000001,7.595353305639891,589.6296739146,117.0,20.966666666666665,-17.4
4,16,13,8,1,977.366482733333,10.709606261524463,766.0664859273334,221.83333333333334,42.266666666666666,-52.800000000000004
4,16,13,8,2,1247.2060648666666,14.107326535128308,845.706069769,424.3333333333333,79.76666666666667,-102.60000000000001
4,16,13,16,0,849.8351070333335,8.935452810378257,579.3684378691999,258.3333333333333,49.03333333333333,-36.900000000000006
4,16,13,16,1,740.6766399333333,8.133348584036527,444.94330497933316,258.5,50.03333333333333,-12.8
4,16,13,16,2,-461.1599820333334,-6.592837036929961,-431.6933168170666,-14.5,0.43333333333333335,-15.400000000000002
