n,ni,no,ri,ro,phase,score
21,8,12,993,1897,1.875,1005
21,8,12,993,1897,3.75,1005
21,8,12,993,1897,5.625,1005
21,8,12,993,1897,7.5,1005
21,8,12,993,1900,0,1005
21,8,12,993,1900,1.875,1005
21,8,12,993,1900,3.75,1005
21,8,12,993,1900,5.625,1005
21,8,12,993,1900,7.5,1005
21,8,12,994,1864,0,994
21,8,12,994,1864,1.875,999.258
21,8,12,994,1864,3.75,1001.84
21,8,12,994,1864,5.625,1001.84
21,8,12,994,1864,7.5,1001.84
21,8,12,994,1867,0,994
21,8,12,994,1867,1.875,1002.19
21,8,12,994,1867,3.75,1004.73
21,8,12,994,1867,5.625,1004.73
21,8,12,994,1867,7.5,1004.73
21,8,12,994,1870,0,994
21,8,12,994,1870,1.875,1005
21,8,12,994,1870,3.75,1005
21,8,12,994,1870,5.625,1005
21,8,12,994,1870,7.5,1005
21,8,12,994,1873,0,994
21,8,12,994,1873,1.875,1005
21,8,12,994,1873,3.75,1005
21,8,12,994,1873,5.625,1005
21,8,12,994,1873,7.5,1005
21,8,12,994,1876,0,996.719
21,8,12,994,1876,1.875,1005
21,8,12,994,1876,3.75,1005
21,8,12,994,1876,5.625,1005
21,8,12,994,1876,7.5,1005
21,8,12,994,1879,0,999.648
21,8,12,994,1879,1.875,1005
21,8,12,994,1879,3.75,1005
21,8,12,994,1879,5.625,1005
21,8,12,994,1879,7.5,1005
21,8,12,994,1882,0,1002.58
21,8,12,994,1882,1.875,1005
21,8,12,994,1882,3.75,1005
21,8,12,994,1882,5.625,1005
21,8,12,994,1882,7.5,1005
21,8,12,994,1885,0,1005
21,8,12,994,1885,1.875,1005
21,8,12,994,1885,3.75,1005
21,8,12,994,1885,5.625,1005
21,8,12,994,1885,7.5,1005
21,8,12,994,1888,0,1005
21,8,12,994,1888,1.875,1005
21,8,12,994,1888,3.75,1005
21,8,12,994,1888,5.625,1005
21,8,12,994,1888,7.5,1005
21,8,12,994,1891,0,1005
21,8,12,994,1891,1.875,1005
21,8,12,994,1891,3.75,1005
21,8,12,994,1891,5.625,1005
21,8,12,994,1891,7.5,1005
21,8,12,994,1894,0,1005
21,8,12,994,1894,1.875,1005
21,8,12,994,1894,3.75,1005
21,8,12,994,1894,5.625,1005
21,8,12,994,1894,7.5,1005
21,8,12,994,1897,0,1005
21,8,12,994,1897,1.875,1005
21,8,12,994,1897,3.75,1005
21,8,12,994,1897,5.625,1005
21,8,12,994,1897,7.5,1005
21,8,12,994,1900,0,1005
21,8,12,994,1900,1.875,1005
21,8,12,994,1900,3.75,1005
21,8,12,994,1900,5.625,1005
21,8,12,994,1900,7.5,1005
21,8,12,995,1864,0,995
21,8,12,995,1864,1.875,995
21,8,12,995,1864,3.75,1001.84
21,8,12,995,1864,5.625,1001.84
21,8,12,995,1864,7.5,1001.84
21,8,12,995,1867,0,995
21,8,12,995,1867,1.875,997.227
21,8,12,995,1867,3.75,1004.73
21,8,12,995,1867,5.625,1004.73
21,8,12,995,1867,7.5,1004.73
21,8,12,995,1870,0,995
21,8,12,995,1870,1.875,1000.16
21,8,12,995,1870,3.75,1005
21,8,12,995,1870,5.625,1005
21,8,12,995,1870,7.5,1005
21,8,12,995,1873,0,995
21,8,12,995,1873,1.875,1003.05
21,8,12,995,1873,3.75,1005
21,8,12,995,1873,5.625,1005
21,8,12,995,1873,7.5,1005
21,8,12,995,1876,0,995
21,8,12,995,1876,1.875,1005
21,8,12,995,1876,3.75,1005
21,8,12,995,1876,5.625,1005
