case_id,problem,seed,n,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
310027,3,310027,16,1,16,3802.410555,237.6506596875,15507.05278602,105,93,1,0,0.0010005,upper_bound_16
310027,3,310027,16,2,16,3802.410555,237.6506596875,15507.05278602,105,93,1,0,0.0009809,upper_bound_16
310028,3,310028,16,0,16,4943.371866,308.960741625,21786.85931957,85,78,1,0,0.0003749,upper_bound_16
310028,3,310028,16,1,16,4629.870863,289.3669289375,20109.35431905,89,80,1,0,0.0014372,upper_bound_16
310028,3,310028,16,2,16,4629.870863,289.3669289375,20109.35431905,89,80,1,0,0.0014278,upper_bound_16
310029,3,310029,13,0,13,4253.031346,327.1562573846,17895.15674783,103,94,0,0,0.0003049,seven_point_per_channel
310029,3,310029,13,1,13,3538.584954,272.1988426154,14642.92478428,92,85,0,0,0.0007943,seven_point_per_channel
310029,3,310029,13,2,13,3538.584954,272.1988426154,14642.92478428,92,85,0,0,0.0007843,seven_point_per_channel
310030,3,310030,11,0,11,3870.632308,351.8756643636,16113.1615318,100,93,0,0,0.0002638,seven_point_per_channel
310030,3,310030,11,1,11,3297.43338,299.7666709091,13157.16691083,103,96,0,0,0.0006646,seven_point_per_channel
310030,3,310030,11,2,11,3297.43338,299.7666709091,13157.16691083,103,96,0,0,0.000655,seven_point_per_channel
310031,3,310031,12,0,12,4625.228362,385.4356968333,19661.14182534,106,103,0,0,0.0002884,seven_point_per_channel
310031,3,310031,12,1,12,3629.235375,302.43628125,14491.17687455,113,106,0,0,0.0004659,seven_point_per_channel
310031,3,310031,12,2,12,3629.235375,302.43628125,14491.17687455,113,106,0,0,0.0004576,seven_point_per_channel
310032,3,310032,12,0,12,4570.709382,380.8924485,19793.54690929,93,87,0,0,0.0002859,seven_point_per_channel
310032,3,310032,12,1,12,3662.920969,305.2434140833,15119.60484765,98,89,0,1,0.0008819,seven_point_per_channel
310032,3,310032,12,2,12,3662.920969,305.2434140833,15119.60484765,98,89,0,1,0.0008788,seven_point_per_channel
310033,3,310033,15,0,15,4814.354059,320.9569372667,21196.77030854,84,77,1,0,0.0003848,seven_point_per_channel
310033,3,310033,15,1,15,4250.926949,283.3951299333,18144.63476618,92,78,3,1,0.0014696,seven_point_per_channel
310033,3,310033,15,2,15,4250.926949,283.3951299333,18144.63476618,92,78,3,1,0.0014731,seven_point_per_channel
310034,3,310034,11,0,11,4628.625017,420.7840924545,19658.12509166,108,102,0,0,0.0002788,seven_point_per_channel
310034,3,310034,11,1,11,3387.438729,307.9489753636,13452.1936522,108,102,0,0,0.0005043,seven_point_per_channel
310034,3,310034,11,2,11,3387.438729,307.9489753636,13452.1936522,108,102,0,0,0.0005039,seven_point_per_channel
310035,3,310035,10,0,10,3611.025365,361.1025365,14895.12682736,98,92,0,0,0.0002458,seven_point_per_channel
310035,3,310035,10,1,10,3031.370614,303.1370614,11866.85308058,103,93,0,1,0.0006692,seven_point_per_channel
310035,3,310035,10,2,10,3031.370614,303.1370614,11866.85308058,103,93,0,1,0.00066,seven_point_per_channel
310036,3,310036,12,0,12,4526.610405,377.21753375,19363.05202386,100,94,0,0,0.0002835,seven_point_per_channel
310036,3,310036,12,1,12,3735.2916,311.2743,15291.4580027,104,97,0,0,0.0006001,seven_point_per_channel
310036,3,310036,12,2,12,3735.2916,311.2743,15291.4580027,104,97,0,0,0.0005858,seven_point_per_channel
310037,3,310037,16,0,16,5370.103328,335.631458,23835.51664665,88,80,1,0,0.0004066,upper_bound_16
310037,3,310037,16,1,16,3923.498818,245.218676125,16702.49409301,85,78,0,0,0.0013427,upper_bound_16
310037,3,310037,16,2,16,3923.498818,245.218676125,16702.49409301,85,78,0,0,0.0013431,upper_bound_16
310038,3,310038,14,0,14,4226.443552,301.8888251429,17952.21775734,95,88,1,0,0.0003657,seven_point_per_channel
310038,3,310038,14,1,14,3740.882393,267.2058852143,15799.41196399,86,78,1,0,0.0013178,seven_point_per_channel
310038,3,310038,14,2,14,3740.882393,267.2058852143,15799.41196399,86,78,1,0,0.0012827,seven_point_per_channel
310039,3,310039,10,0,10,4528.377282,452.8377282,19231.88640931,106,99,1,0,0.0003073,seven_point_per_channel
310039,3,310039,10,1,10,3566.838713,356.6838713,14149.19357406,115,109,1,0,0.0007003,seven_point_per_channel
310039,3,310039,10,2,10,3566.838713,356.6838713,14149.19357406,115,109,1,0,0.0007156,seven_point_per_channel
310040,3,310040,12,0,12,4194.765247,349.5637705833,17583.82624628,104,98,0,0,0.0003642,seven_point_per_channel
310040,3,310040,12,1,12,3660.142284,305.011857,14765.71142031,109,99,1,0,0.0007373,seven_point_per_channel
310040,3,310040,12,2,12,3660.142284,305.011857,14765.71142031,109,99,1,0,0.0008277,seven_point_per_channel
310041,3,310041,10,0,10,3982.857874,398.2857874,16414.28936831,109,105,0,0,0.0003478,seven_point_per_channel
310041,3,310041,10,1,10,3617.105481,361.7105481,14510.52741113,112,105,0,0,0.0003461,seven_point_per_channel
310041,3,310041,10,2,10,3617.105481,361.7105481,14510.52741113,112,105,0,0,0.0007071,seven_point_per_channel
310042,3,310042,11,0,11,4304.820143,391.3472857273,18124.10072877,105,100,0,0,0.000285,seven_point_per_channel
310042,3,310042,11,1,11,3514.532396,319.5029450909,14167.66197476,105,101,0,0,0.0005767,seven_point_per_channel
310042,3,310042,11,2,11,3514.532396,319.5029450909,14167.66197476,105,101,0,0,0.0006576,seven_point_per_channel
310043,3,310043,14,0,14,4173.532293,298.1094495,17937.66146769,87,81,0,0,0.0003385,seven_point_per_channel
310043,3,310043,14,1,14,3603.652747,257.4037676429,14728.26373141,99,90,1,0,0.0014035,seven_point_per_channel
310043,3,310043,14,2,14,3603.652747,257.4037676429,14728.26373141,99,90,1,0,0.0009694,seven_point_per_channel
310044,3,310044,16,0,16,5407.357586,337.959849125,23721.78792568,98,93,0,0,0.0003769,upper_bound_16
310044,3,310044,16,1,16,4222.401781,263.9001113125,17717.00890803,101,94,0,0,0.0009222,upper_bound_16
310044,3,310044,16,2,16,4222.401781,263.9001113125,17717.00890803,101,94,0,0,0.0009434,upper_bound_16
310045,3,310045,10,0,10,3977.561248,397.7561248,16362.80625208,110,105,0,0,0.0002521,seven_point_per_channel
310045,3,310045,10,1,10,3351.438533,335.1438533,13312.19266684,107,104,0,0,0.0004341,seven_point_per_channel
310045,3,310045,10,2,10,3351.438533,335.1438533,13312.19266684,107,104,0,0,0.0004246,seven_point_per_channel
310046,3,310046,14,0,14,4754.450156,339.6035825714,20427.25078318,100,96,1,0,0.0003277,seven_point_per_channel
310046,3,310046,14,1,14,4244.285933,303.1632809286,17676.42966493,108,96,1,0,0.0008489,seven_point_per_channel
310046,3,310046,14,2,14,4244.285933,303.1632809286,17676.42966493,108,96,1,0,0.0010171,seven_point_per_channel
310047,3,310047,11,0,11,4114.981392,374.0892174545,17464.90697322,96,87,0,0,0.0003017,seven_point_per_channel
310047,3,310047,11,1,11,2893.45115,263.0410136364,11272.25575503,97,93,2,0,0.0007621,seven_point_per_channel
310047,3,310047,11,2,11,2893.45115,263.0410136364,11272.25575503,97,93,2,0,0.000753,seven_point_per_channel
310048,3,310048,14,0,14,4353.464327,310.9617376429,18362.32164841,103,96,0,0,0.0005038,seven_point_per_channel
310048,3,310048,14,1,14,3991.464578,285.1046127143,16532.32288801,104,92,1,0,0.0012537,seven_point_per_channel
310048,3,310048,14,2,14,3991.464578,285.1046127143,16532.32288801,104,92,1,0,0.0008687,seven_point_per_channel
310049,3,310049,16,0,16,4703.03192,293.939495,20330.15961764,94,84,1,0,0.0004251,upper_bound_16
310049,3,310049,16,1,16,3904.807221,244.0504513125,16394.03612449,92,86,0,0,0.0009326,upper_bound_16
310049,3,310049,16,2,16,3904.807221,244.0504513125,16394.03612449,92,86,0,0,0.0010455,upper_bound_16
310050,3,310050,14,0,14,4968.521005,354.8943575,21527.60502379,99,95,1,0,0.0003448,seven_point_per_channel
310050,3,310050,14,1,14,3776.316098,269.7368641429,15676.58048502,96,88,1,0,0.0009634,seven_point_per_channel
310050,3,310050,14,2,14,3776.316098,269.7368641429,15676.58048502,96,88,1,0,0.0011031,seven_point_per_channel
310051,3,310051,11,0,11,4304.775551,391.3432319091,18008.87775124,108,105,1,0,0.0005997,seven_point_per_channel
310051,3,310051,11,1,11,3932.60899,357.5099081818,16103.04496087,110,101,2,0,0.0005428,seven_point_per_channel
310051,3,310051,11,2,11,3932.60899,357.5099081818,16103.04496087,110,101,2,0,0.0005973,seven_point_per_channel
310052,3,310052,14,0,14,4264.494826,304.6067732857,18017.47413371,99,93,1,0,0.0004873,seven_point_per_channel
310052,3,310052,14,1,14,3579.847598,255.7033998571,14464.2379837,104,94,1,0,0.0009587,seven_point_per_channel
310052,3,310052,14,2,14,3579.847598,255.7033998571,14464.2379837,104,94,1,0,0.0006248,seven_point_per_channel
310053,3,310053,14,0,14,4595.843175,328.2745125,19794.21587244,95,89,1,0,0.0003769,seven_point_per_channel
310053,3,310053,14,1,14,3976.984661,284.0703329286,16659.92331385,96,89,2,0,0.0008108,seven_point_per_channel
310053,3,310053,14,2,14,3976.984661,284.0703329286,16659.92331385,96,89,2,0,0.0010127,seven_point_per_channel
310054,3,310054,12,0,12,4809.151904,400.7626586667,20545.75953571,107,102,1,0,0.0003445,seven_point_per_channel
310054,3,310054,12,1,12,3812.379757,317.6983130833,15561.89879434,107,102,1,0,0.0005239,seven_point_per_channel
310054,3,310054,12,2,12,3812.379757,317.6983130833,15561.89879434,107,102,1,0,0.0005085,seven_point_per_channel
310055,3,310055,14,0,14,5210.992787,372.2137705,22954.96394007,93,85,0,0,0.0003689,seven_point_per_channel
310055,3,310055,14,1,14,4007.490918,286.2493512857,17117.45459116,87,79,0,0,0.0019178,seven_point_per_channel
310055,3,310055,14,2,14,4007.490918,286.2493512857,17117.45459116,87,79,0,0,0.0016301,seven_point_per_channel
310056,3,310056,12,0,12,4630.843979,385.9036649167,19689.21989405,106,103,0,0,0.000287,seven_point_per_channel
310056,3,310056,12,1,12,3548.395401,295.69961675,14356.97700907,104,97,0,0,0.0007904,seven_point_per_channel
310056,3,310056,12,2,12,3548.395401,295.69961675,14356.97700907,104,97,0,0,0.0008879,seven_point_per_channel
310057,3,310057,16,0,16,4850.065829,303.1291143125,21540.32912742,78,72,0,0,0.0004055,upper_bound_16
310057,3,310057,16,1,16,4226.767699,264.1729811875,18198.83850536,86,77,0,0,0.0020379,upper_bound_16
310057,3,310057,16,2,16,4226.767699,264.1729811875,18198.83850536,86,77,0,0,0.0021614,upper_bound_16
310058,3,310058,10,0,10,4043.076178,404.3076178,16880.38089689,104,97,0,0,0.0002585,seven_point_per_channel
310058,3,310058,10,1,10,3363.252853,336.3252853,13351.26426859,107,99,3,0,0.0008436,seven_point_per_channel
310058,3,310058,10,2,10,3363.252853,336.3252853,13351.26426859,107,99,3,0,0.0008048,seven_point_per_channel
310059,3,310059,15,0,15,5198.595474,346.5730316,22547.97736793,103,99,0,0,0.0003506,seven_point_per_channel
310059,3,310059,15,1,15,3977.705278,265.1803518667,16493.5263902,102,94,0,0,0.0007674,seven_point_per_channel
310059,3,310059,15,2,15,3977.705278,265.1803518667,16493.5263902,102,94,0,0,0.0008839,seven_point_per_channel
310060,3,310060,15,0,15,4692.05912,312.8039413333,20500.29560554,87,82,0,0,0.0003816,seven_point_per_channel
310060,3,310060,15,1,15,4018.509809,267.9006539333,17027.54904069,91,83,0,0,0.0013375,seven_point_per_channel
310060,3,310060,15,2,15,4018.509809,267.9006539333,17027.54904069,91,83,0,0,0.0011602,seven_point_per_channel
310061,3,310061,13,0,13,3964.893905,304.9918388462,16274.46953826,108,105,0,0,0.0004527,seven_point_per_channel
310061,3,310061,13,1,13,3693.029399,284.0791845385,15035.14699622,105,96,0,0,0.0011234,seven_point_per_channel
310061,3,310061,13,2,13,3693.029399,284.0791845385,15035.14699622,105,96,0,0,0.0010014,seven_point_per_channel
310062,3,310062,15,0,15,4606.340582,307.0893721333,20241.70290782,82,73,0,0,0.0003929,seven_point_per_channel
310062,3,310062,15,1,15,3856.853838,257.1235892,16314.26919521,88,79,0,0,0.0019251,seven_point_per_channel
310062,3,310062,15,2,15,3856.853838,257.1235892,16314.26919521,88,79,0,0,0.0022543,seven_point_per_channel
310063,3,310063,13,0,13,4399.311633,338.4085871538,19136.55816221,85,79,1,0,0.0004484,seven_point_per_channel
310063,3,310063,13,1,13,3336.34028,256.64156,13576.70140672,94,83,1,0,0.0013882,seven_point_per_channel
310063,3,310063,13,2,13,3336.34028,256.64156,13576.70140672,94,83,1,0,0.0011836,seven_point_per_channel
310064,3,310064,12,0,12,4622.429658,385.2024715,19922.14828547,97,93,0,0,0.0002879,seven_point_per_channel
310064,3,310064,12,1,12,3822.612727,318.5510605833,15788.06362776,102,95,0,1,0.0007302,seven_point_per_channel
310064,3,310064,12,2,12,3822.612727,318.5510605833,15788.06362776,102,95,0,1,0.0007376,seven_point_per_channel
310065,3,310065,14,0,14,4973.63314,355.25951,21923.16571222,88,79,0,0,0.0003618,seven_point_per_channel
310065,3,310065,14,1,14,3592.642597,256.6173283571,14648.21300698,101,88,0,1,0.0010555,seven_point_per_channel
310065,3,310065,14,2,14,3592.642597,256.6173283571,14648.21300698,101,88,0,1,0.0009833,seven_point_per_channel
310066,3,310066,16,0,16,4511.736201,281.9835125625,19728.68100929,82,76,0,0,0.0004149,upper_bound_16
310066,3,310066,16,1,16,4032.496117,252.0310073125,17062.4805899,92,80,0,0,0.0013626,upper_bound_16
310066,3,310066,16,2,16,4032.496117,252.0310073125,17062.4805899,92,80,0,0,0.0013408,upper_bound_16
310067,3,310067,12,0,12,4695.17322,391.264435,19985.86610186,107,103,0,0,0.0002853,seven_point_per_channel
310067,3,310067,12,1,12,3625.07191,302.0893258333,14545.35956669,110,106,0,0,0.0004629,seven_point_per_channel
310067,3,310067,12,2,12,3625.07191,302.0893258333,14545.35956669,110,106,0,0,0.0004552,seven_point_per_channel
310068,3,310068,16,0,16,4970.734958,310.670934875,22023.67478765,82,76,0,0,0.0003986,upper_bound_16
310068,3,310068,16,1,16,3827.171061,239.1981913125,16325.85530334,81,74,1,0,0.0018355,upper_bound_16
310068,3,310068,16,2,16,3827.171061,239.1981913125,16325.85530334,81,74,1,0,0.0018463,upper_bound_16
310069,3,310069,11,0,11,4334.828905,394.075355,18329.14453914,103,99,0,0,0.0002568,seven_point_per_channel
310069,3,310069,11,1,11,3798.026148,345.2751043636,15410.13075332,111,103,1,0,0.0004375,seven_point_per_channel
310069,3,310069,11,2,11,3798.026148,345.2751043636,15410.13075332,111,103,1,0,0.0004437,seven_point_per_channel
310070,3,310070,12,0,12,4245.285507,353.77379225,17686.4275367,109,103,0,0,0.0003134,seven_point_per_channel
310070,3,310070,12,1,12,3514.151877,292.84598975,14030.75939171,109,103,0,0,0.0005396,seven_point_per_channel
