case_id,problem,seed,n,nd,nb,geometry,radius,error,outward,eigen_ratio,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
35,3,210036,10,0,0,1,1500,0,1,0.0001325238844662,2,10,3626.604449,362.6604449,14758.02225338,106,95,0,0,0.0006097,seven_point_per_channel
36,3,210037,10,0,0,1,1000,1,0,7.742618767562e-05,0,10,3933.725439,393.3725439,16188.62719246,108,103,1,0,0.0002591,seven_point_per_channel
36,3,210037,10,0,0,1,1000,1,0,7.742618767562e-05,1,10,2861.742938,286.1742938,10788.71469083,109,103,2,0,0.0004447,seven_point_per_channel
36,3,210037,10,0,0,1,1000,1,0,7.742618767562e-05,2,10,2861.742938,286.1742938,10788.71469083,109,103,2,0,0.0004411,seven_point_per_channel
37,3,210038,10,0,0,1,1250,2,1,0.0001488554556128,0,10,4127.51541,412.751541,17412.57703931,99,91,3,0,0.0002845,seven_point_per_channel
37,3,210038,10,0,0,1,1250,2,1,0.0001488554556128,1,10,3861.265248,386.1265248,16001.32624128,101,91,5,1,0.0007945,seven_point_per_channel
37,3,210038,10,0,0,1,1250,2,1,0.0001488554556128,2,10,3861.265248,386.1265248,16001.32624128,101,91,5,1,0.0009648,seven_point_per_channel
38,3,210039,10,0,0,1,1500,3,0,7.893745220776e-05,0,10,4337.659151,433.7659151,18423.29575852,102,93,0,0,0.0002916,seven_point_per_channel
38,3,210039,10,0,0,1,1500,3,0,7.893745220776e-05,1,10,3886.840161,388.6840161,16214.20079921,100,91,1,0,0.0006976,seven_point_per_channel
38,3,210039,10,0,0,1,1500,3,0,7.893745220776e-05,2,10,3886.840161,388.6840161,16214.20079921,100,91,1,0,0.0006949,seven_point_per_channel
39,3,210040,10,0,0,1,1000,4,1,4.027282889543e-05,0,10,4573.4894,457.34894,19107.44699892,115,103,8,0,0.0003256,seven_point_per_channel
39,3,210040,10,0,0,1,1000,4,1,4.027282889543e-05,1,10,4062.243021,406.2243021,16591.21511925,114,103,7,0,0.000499,seven_point_per_channel
39,3,210040,10,0,0,1,1000,4,1,4.027282889543e-05,2,10,4062.243021,406.2243021,16591.21511925,114,103,7,0,0.0004972,seven_point_per_channel
40,3,210041,10,0,0,1,1250,0,0,9.258341552355e-05,0,10,4022.164989,402.2164989,16750.82494976,105,97,0,0,0.0003097,seven_point_per_channel
40,3,210041,10,0,0,1,1250,0,0,9.258341552355e-05,1,10,3502.916456,350.2916456,14154.58228611,105,97,0,0,0.0005422,seven_point_per_channel
40,3,210041,10,0,0,1,1250,0,0,9.258341552355e-05,2,10,3502.916456,350.2916456,14154.58228611,105,97,0,0,0.0005229,seven_point_per_channel
41,3,210042,10,0,0,1,1500,1,1,7.802317748604e-05,0,10,4848.737538,484.8737538,21068.68769558,99,84,2,0,0.0003496,seven_point_per_channel
41,3,210042,10,0,0,1,1500,1,1,7.802317748604e-05,1,10,4167.115358,416.7115358,17525.57678903,101,86,7,1,0.0008354,seven_point_per_channel
41,3,210042,10,0,0,1,1500,1,1,7.802317748604e-05,2,10,4167.115358,416.7115358,17525.57678903,101,86,7,1,0.0008162,seven_point_per_channel
42,3,210043,10,0,0,1,1000,2,0,1.737901690739e-05,0,10,3360.738342,336.0738342,13153.69171701,114,110,0,0,0.0002432,seven_point_per_channel
42,3,210043,10,0,0,1,1000,2,0,1.737901690739e-05,1,10,2740.408705,274.0408705,10057.04352616,114,109,0,0,0.000375,seven_point_per_channel
42,3,210043,10,0,0,1,1000,2,0,1.737901690739e-05,2,10,2740.408705,274.0408705,10057.04352616,114,109,0,0,0.0003648,seven_point_per_channel
43,3,210044,10,0,0,1,1250,3,1,4.677903951932e-05,0,10,3944.485133,394.4485133,16472.42566095,101,95,0,0,0.0002507,seven_point_per_channel
43,3,210044,10,0,0,1,1250,3,1,4.677903951932e-05,1,10,3647.140344,364.7140344,15080.7017285,98,91,0,0,0.0006808,seven_point_per_channel
43,3,210044,10,0,0,1,1250,3,1,4.677903951932e-05,2,10,3647.140344,364.7140344,15080.7017285,98,91,0,0,0.0007761,seven_point_per_channel
44,3,210045,10,0,0,1,1500,4,0,8.297923366277e-05,0,10,4567.602654,456.7602654,19528.01326951,103,88,3,0,0.0003942,seven_point_per_channel
44,3,210045,10,0,0,1,1500,4,0,8.297923366277e-05,1,10,4360.90486,436.090486,18444.52430132,104,90,4,0,0.0010037,seven_point_per_channel
44,3,210045,10,0,0,1,1500,4,0,8.297923366277e-05,2,10,4360.90486,436.090486,18444.52430132,104,90,4,0,0.0008417,seven_point_per_channel
45,3,210046,10,0,0,1,1000,0,1,5.947731371926e-05,0,10,4273.177842,427.3177842,18080.8892042,102,97,0,0,0.0003142,seven_point_per_channel
45,3,210046,10,0,0,1,1000,0,1,5.947731371926e-05,1,10,3954.715587,395.4715587,16513.57793719,101,97,0,0,0.000608,seven_point_per_channel
45,3,210046,10,0,0,1,1000,0,1,5.947731371926e-05,2,10,3954.715587,395.4715587,16513.57793719,101,97,0,0,0.0005938,seven_point_per_channel
46,3,210047,10,0,0,1,1250,1,0,3.801948259142e-05,0,10,3657.386362,365.7386362,15056.93182569,100,96,0,0,0.0002877,seven_point_per_channel
46,3,210047,10,0,0,1,1250,1,0,3.801948259142e-05,1,10,3452.779172,345.2779172,13893.89586498,105,99,0,0,0.0005239,seven_point_per_channel
46,3,210047,10,0,0,1,1250,1,0,3.801948259142e-05,2,10,3452.779172,345.2779172,13893.89586498,105,99,0,0,0.0005116,seven_point_per_channel
47,3,210048,10,0,0,1,1500,2,1,5.544216367915e-05,0,10,4439.098187,443.9098187,19005.49093907,99,84,3,0,0.0003967,seven_point_per_channel
47,3,210048,10,0,0,1,1500,2,1,5.544216367915e-05,1,10,3949.209271,394.9209271,16531.04635697,99,86,4,0,0.0009443,seven_point_per_channel
47,3,210048,10,0,0,1,1500,2,1,5.544216367915e-05,2,10,3949.209271,394.9209271,16531.04635697,99,86,4,0,0.0008077,seven_point_per_channel
48,3,210049,10,0,0,1,1000,3,0,1.891060437373e-05,0,10,3913.680766,391.3680766,16223.40382774,104,99,0,0,0.0002614,seven_point_per_channel
48,3,210049,10,0,0,1,1000,3,0,1.891060437373e-05,1,10,3758.140861,375.8140861,15635.70431193,98,91,0,0,0.0006675,seven_point_per_channel
48,3,210049,10,0,0,1,1000,3,0,1.891060437373e-05,2,10,3758.140861,375.8140861,15635.70431193,98,91,0,0,0.0006441,seven_point_per_channel
49,3,210050,10,0,0,1,1250,4,1,0.0002659977067572,0,10,3566.272726,356.6272726,14756.36362885,95,90,0,0,0.0002543,seven_point_per_channel
49,3,210050,10,0,0,1,1250,4,1,0.0002659977067572,1,10,3360.395362,336.0395362,13101.97681365,116,110,0,0,0.0005108,seven_point_per_channel
49,3,210050,10,0,0,1,1250,4,1,0.0002659977067572,2,10,3360.395362,336.0395362,13101.97681365,116,110,0,0,0.0006687,seven_point_per_channel
50,3,210051,10,0,0,1,1500,0,0,0.0001277975561385,0,10,4373.352899,437.3352899,18696.76449392,99,86,1,0,0.000323,seven_point_per_channel
50,3,210051,10,0,0,1,1500,0,0,0.0001277975561385,1,10,3950.421063,395.0421063,16602.10531417,98,87,1,0,0.0007415,seven_point_per_channel
50,3,210051,10,0,0,1,1500,0,0,0.0001277975561385,2,10,3950.421063,395.0421063,16602.10531417,98,87,1,0,0.0010634,seven_point_per_channel
51,3,210052,10,0,0,1,1000,1,1,6.276743285838e-05,0,10,3932.587769,393.2587769,16222.93885025,106,99,3,0,0.0002742,seven_point_per_channel
51,3,210052,10,0,0,1,1000,1,1,6.276743285838e-05,1,10,3606.738088,360.6738088,14718.69043366,102,91,4,0,0.0006424,seven_point_per_channel
51,3,210052,10,0,0,1,1000,1,1,6.276743285838e-05,2,10,3606.738088,360.6738088,14718.69043366,102,91,4,0,0.0006528,seven_point_per_channel
52,3,210053,10,0,0,1,1250,2,0,0.0001898742140099,0,10,4565.84661,456.584661,19224.23305156,111,98,6,0,0.0003255,seven_point_per_channel
52,3,210053,10,0,0,1,1250,2,0,0.0001898742140099,1,10,4280.093679,428.0093679,17795.46841196,111,98,6,0,0.0005852,seven_point_per_channel
52,3,210053,10,0,0,1,1250,2,0,0.0001898742140099,2,10,4280.093679,428.0093679,17795.46841196,111,98,6,0,0.0005653,seven_point_per_channel
53,3,210054,10,0,0,1,1500,3,1,4.052200105479e-05,0,10,4432.164714,443.2164714,18955.82357984,100,91,0,0,0.0002651,seven_point_per_channel
53,3,210054,10,0,0,1,1500,3,1,4.052200105479e-05,1,10,4239.925136,423.9925136,17999.62569859,100,90,0,0,0.0006891,seven_point_per_channel
53,3,210054,10,0,0,1,1500,3,1,4.052200105479e-05,2,10,4239.925136,423.9925136,17999.62569859,100,90,0,0,0.0006774,seven_point_per_channel
54,3,210055,10,0,0,1,1000,4,0,9.063673963456e-05,0,10,3806.309951,380.6309951,15881.54975717,97,92,1,0,0.0002487,seven_point_per_channel
54,3,210055,10,0,0,1,1000,4,0,9.063673963456e-05,1,10,3276.220745,327.6220745,13156.10371938,99,91,3,0,0.0005365,seven_point_per_channel
54,3,210055,10,0,0,1,1000,4,0,9.063673963456e-05,2,10,3276.220745,327.6220745,13156.10371938,99,91,3,0,0.0005191,seven_point_per_channel
55,3,210056,10,0,0,1,1250,0,1,8.468377845722e-05,0,10,3955.300763,395.5300763,16136.50382049,114,108,0,0,0.0002596,seven_point_per_channel
55,3,210056,10,0,0,1,1250,0,1,8.468377845722e-05,1,10,3321.648739,332.1648739,13198.24370463,106,99,1,0,0.0004942,seven_point_per_channel
55,3,210056,10,0,0,1,1250,0,1,8.468377845722e-05,2,10,3321.648739,332.1648739,13198.24370463,106,99,1,0,0.0004783,seven_point_per_channel
56,3,210057,10,0,0,1,1500,1,0,0.0001778127472692,0,10,4882.435313,488.2435313,21077.17657252,104,91,2,0,0.0003322,seven_point_per_channel
56,3,210057,10,0,0,1,1500,1,0,0.0001778127472692,1,10,4587.557609,458.7557609,19642.78805525,103,91,1,0,0.0006865,seven_point_per_channel
56,3,210057,10,0,0,1,1500,1,0,0.0001778127472692,2,10,4587.557609,458.7557609,19642.78805525,103,91,1,0,0.000694,seven_point_per_channel
57,3,210058,10,0,0,1,1000,2,1,2.992125055901e-05,0,10,4322.179103,432.2179103,17760.89552278,118,106,8,0,0.0003184,seven_point_per_channel
57,3,210058,10,0,0,1,1000,2,1,2.992125055901e-05,1,10,3174.548043,317.4548043,12222.74022959,113,106,3,0,0.0003904,seven_point_per_channel
57,3,210058,10,0,0,1,1000,2,1,2.992125055901e-05,2,10,3174.548043,317.4548043,12222.74022959,113,106,3,0,0.0003804,seven_point_per_channel
58,3,210059,10,0,0,1,1250,3,0,7.965540498022e-05,0,10,4038.434503,403.8434503,16767.17252053,107,100,0,0,0.0002721,seven_point_per_channel
58,3,210059,10,0,0,1,1250,3,0,7.965540498022e-05,1,10,3570.484487,357.0484487,14517.42244255,104,97,0,0,0.0004844,seven_point_per_channel
58,3,210059,10,0,0,1,1250,3,0,7.965540498022e-05,2,10,3570.484487,357.0484487,14517.42244255,104,97,0,0,0.0004757,seven_point_per_channel
