日期,时间段,购电量_kWh
2025-07-05,23:40-24:00,149.11026964559426
2025-07-06,05:10-05:40,167.28386047797744
2025-07-06,19:20-19:40,55.00714140972718
2025-07-06,20:10-20:50,340.7540852593896
2025-07-06,22:40-22:50,31.48174492660462
2025-07-06,23:10-24:00,550.1455210318604
2025-07-07,19:00-19:10,9.424769652310147
2025-07-07,20:40-21:50,223.72789462564765
2025-07-07,23:30-23:50,62.05705068115674
2025-07-08,无,0.0
2025-07-09,无,0.0
2025-07-10,无,0.0
2025-07-11,无,0.0
2025-07-12,无,0.0
2025-07-13,无,0.0
2025-07-14,无,0.0
2025-07-15,无,0.0
2025-07-16,无,0.0
2025-07-17,无,0.0
2025-07-18,无,0.0
2025-07-19,无,0.0
2025-07-20,无,0.0
2025-07-21,无,0.0
2025-07-22,无,0.0
2025-07-23,无,0.0
2025-07-24,无,0.0
2025-07-25,无,0.0
2025-07-26,无,0.0
2025-07-27,无,0.0
2025-07-28,无,0.0
2025-07-29,无,0.0
2025-07-30,无,0.0
2025-07-31,无,0.0
2025-08-01,无,0.0
2025-08-02,无,0.0
2025-08-03,19:40-20:00,20.895390993132764
2025-08-03,23:40-24:00,103.52005801566963
2025-08-04,23:50-24:00,10.415501649606881
2025-08-05,无,0.0
2025-08-06,23:50-24:00,14.680948373400724
2025-08-07,无,0.0
2025-08-08,无,0.0
2025-08-09,无,0.0
2025-08-10,无,0.0
2025-08-11,19:10-19:40,55.881755215845374
2025-08-11,20:30-20:50,47.488562646905734
2025-08-12,19:10-19:30,63.28967997566417
2025-08-12,20:40-21:00,54.4383272252536
2025-08-13,19:10-19:30,41.33913403533711
2025-08-14,19:00-19:10,21.928541598507877
2025-08-14,20:30-20:40,18.495306830302184
2025-08-15,无,0.0
2025-08-16,无,0.0
2025-08-17,19:10-19:20,12.250179321416795
2025-08-17,19:30-19:40,13.38211401181377
2025-08-18,20:20-20:30,6.6333774241680885
2025-08-19,20:00-20:10,11.395727213703367
2025-08-20,19:40-20:10,33.880653560821656
2025-08-21,无,0.0
2025-08-22,无,0.0
2025-08-23,无,0.0
2025-08-24,无,0.0
2025-08-25,无,0.0
2025-08-26,无,0.0
2025-08-27,无,0.0
2025-08-28,18:50-19:00,19.756212417689767
2025-08-29,无,0.0
2025-08-30,无,0.0
2025-08-31,19:10-19:20,2.816250000000082
2025-09-01,无,0.0
2025-09-02,无,0.0
2025-09-03,无,0.0
2025-09-04,23:50-24:00,46.2045461968828
2025-09-05,无,0.0
2025-09-06,无,0.0
2025-09-07,无,0.0
2025-09-08,无,0.0
2025-09-09,无,0.0
2025-09-10,无,0.0
2025-09-11,无,0.0
2025-09-12,无,0.0
2025-09-13,无,0.0
2025-09-14,23:50-24:00,0.6965863791791662
2025-09-15,19:40-19:50,1.1717666666664854
2025-09-15,20:20-20:50,248.85478676615787
2025-09-16,无,0.0
2025-09-17,无,0.0
2025-09-18,无,0.0
2025-09-19,无,0.0
2025-09-20,无,0.0
2025-09-21,无,0.0
2025-09-22,无,0.0
2025-09-23,无,0.0
2025-09-24,无,0.0
2025-09-25,无,0.0
2025-09-26,无,0.0
2025-09-27,23:30-23:40,1.1461666666667725
2025-09-27,23:50-24:00,126.06615332107941
2025-09-28,无,0.0
2025-09-29,06:00-06:10,20.394633333334014
2025-09-30,20:00-20:10,3.418317314728597
2025-10-01,无,0.0
2025-10-02,无,0.0
2025-10-03,无,0.0
2025-10-04,无,0.0
2025-10-05,无,0.0
2025-10-06,无,0.0
2025-10-07,无,0.0
2025-10-08,无,0.0
2025-10-09,无,0.0
2025-10-10,无,0.0
2025-10-11,无,0.0
2025-10-12,06:00-06:10,2.993175123505125
2025-10-13,无,0.0
2025-10-14,无,0.0
2025-10-15,无,0.0
2025-10-16,无,0.0
2025-10-17,21:30-21:50,152.11001221778452
2025-10-17,23:40-24:00,89.10193552657768
2025-10-18,无,0.0
2025-10-19,无,0.0
2025-10-20,无,0.0
2025-10-21,无,0.0
2025-10-22,无,0.0
2025-10-23,无,0.0
2025-10-24,无,0.0
2025-10-25,无,0.0
2025-10-26,无,0.0
2025-10-27,无,0.0
2025-10-28,无,0.0
2025-10-29,无,0.0
2025-10-30,无,0.0
2025-10-31,无,0.0
2025-11-01,无,0.0
2025-11-02,无,0.0
2025-11-03,无,0.0
2025-11-04,无,0.0
2025-11-05,无,0.0
2025-11-06,无,0.0
2025-11-07,无,0.0
2025-11-08,无,0.0
2025-11-09,无,0.0
2025-11-10,无,0.0
2025-11-11,无,0.0
2025-11-12,23:50-24:00,13.664733476551305
2025-11-13,无,0.0
2025-11-14,无,0.0
2025-11-15,无,0.0
2025-11-16,无,0.0
2025-11-17,无,0.0
2025-11-18,无,0.0
2025-11-19,05:50-06:00,1.385000000000673
2025-11-20,无,0.0
2025-11-21,无,0.0
2025-11-22,无,0.0
2025-11-23,无,0.0
2025-11-24,06:00-06:10,13.161460852633127
2025-11-24,23:50-24:00,33.361427651929716
2025-11-25,无,0.0
2025-11-26,无,0.0
2025-11-27,无,0.0
2025-11-28,无,0.0
2025-11-29,无,0.0
2025-11-30,无,0.0
2025-12-01,04:20-05:10,283.47215885119465
2025-12-01,05:40-05:50,137.27436009994187
2025-12-01,09:10-09:30,563.9910235326722
2025-12-01,09:40-10:50,1769.5457220785463
2025-12-02,03:30-03:40,2.7492000922534316
2025-12-02,04:30-05:50,2018.622282595661
2025-12-02,08:00-08:20,34.5810166561771
2025-12-02,10:10-10:40,358.4356359101065
2025-12-02,21:30-21:40,10.353188023021403
2025-12-02,23:40-23:50,10.474754287780002
2025-12-03,03:50-05:40,1318.6895653448285
2025-12-04,02:50-04:50,594.7726864946176
2025-12-04,05:00-05:40,191.4248137900421
2025-12-04,08:10-08:20,42.73046634252205
2025-12-04,10:10-10:20,4.053768917372167
2025-12-04,10:30-10:40,145.96338723004627
2025-12-05,05:10-05:40,262.11298474199646
2025-12-06,04:40-05:40,453.67151958591666
2025-12-07,07:50-08:00,34.67108095996525
2025-12-08,无,0.0
2025-12-09,无,0.0
2025-12-10,无,0.0
2025-12-11,无,0.0
2025-12-12,无,0.0
2025-12-13,无,0.0
2025-12-14,无,0.0
2025-12-15,无,0.0
2025-12-16,无,0.0
2025-12-17,无,0.0
2025-12-18,无,0.0
2025-12-19,无,0.0
2025-12-20,无,0.0
2025-12-21,无,0.0
2025-12-22,21:20-21:40,24.745378384743503
2025-12-23,无,0.0
2025-12-24,无,0.0
2025-12-25,无,0.0
2025-12-26,无,0.0
2025-12-27,无,0.0
2025-12-28,无,0.0
2025-12-29,无,0.0
2025-12-30,无,0.0
2025-12-31,23:50-24:00,29.360878443181605
