日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-07-13,affine_saa_mpc,baseline,67629.09163085428,"[1590630.613353254, 1775656.9569026304, 1619337.4696146275, 1789533.9326871326, 1597893.156173428, 1612064.1016548777]"
2025-07-14,affine_saa_mpc,baseline,67698.8985463642,"[1595006.7309276306, 1778907.146424543, 1623634.068132609, 1792967.5073913876, 1602189.7546914094, 1616360.7001728588]"
2025-07-15,affine_saa_mpc,baseline,68266.69367020595,"[1598398.9675022168, 1782300.8650602696, 1626848.9784506557, 1793310.0475464, 1605520.114528899, 1619691.060010349]"
2025-07-16,affine_saa_mpc,baseline,67972.98367629014,"[1603087.138629301, 1782384.259298216, 1632017.7863257558, 1792815.0201649885, 1609874.9502153646, 1624045.8956968144]"
2025-07-17,affine_saa_mpc,baseline,67394.9062841331,"[1605764.707416706, 1790120.0877574144, 1634582.017487767, 1799822.663813122, 1612095.4568033013, 1626266.4022847512]"
2025-07-18,affine_saa_mpc,baseline,29348.247967659303,"[1610181.9116585415, 1802946.8354095698, 1638824.4614007524, 1811805.2342039945, 1615956.9565737688, 1630127.9020552184]"
2025-07-19,affine_saa_mpc,baseline,29577.323263111135,"[1616478.7625747088, 1812080.8505144697, 1645303.2136398868, 1821328.7433922626, 1622443.8254926302, 1636614.7709740798]"
2025-07-20,affine_saa_mpc,baseline,66590.55753358343,"[1623500.6480052287, 1820644.687932575, 1652462.0794673504, 1830102.2960240983, 1629602.6913200936, 1643773.6368015432]"
2025-07-21,affine_saa_mpc,baseline,69269.15403470775,"[1628233.753615205, 1825425.9711288977, 1656901.9440307445, 1836353.8025381821, 1633979.5766954161, 1648150.5221768657]"
2025-07-22,affine_saa_mpc,baseline,67751.5107366018,"[1636711.8452435345, 1834751.6738711265, 1664896.719985912, 1848123.2237824574, 1641872.7595440354, 1656043.7050254853]"
2025-07-23,affine_saa_mpc,baseline,67700.08408068874,"[1642553.8103846686, 1827251.940939836, 1663478.9221803946, 1840482.2606374854, 1647425.3493886562, 1661585.053150106]"
2025-07-24,affine_saa_mpc,baseline,67946.33530777213,"[1649807.933788107, 1832375.1052863025, 1670132.28372703, 1846989.654770924, 1654244.0046547367, 1668403.789048321]"
2025-07-25,affine_saa_mpc,baseline,29225.761883196847,"[1657694.8685278378, 1842849.346536036, 1679796.270501382, 1859187.5019351556, 1661525.0374706178, 1675684.821864202]"
2025-07-26,affine_saa_mpc,baseline,29836.31714098958,"[1666210.4099042371, 1850209.5982961964, 1688318.7460152924, 1866567.189622379, 1670047.5129845282, 1684207.2973781123]"
2025-07-27,affine_saa_mpc,baseline,67173.5921084134,"[1675247.771294162, 1856524.8307123287, 1697369.2589450122, 1873088.2144994335, 1679160.1255417892, 1693319.9099353733]"
2025-07-28,affine_saa_mpc,baseline,67583.7826146373,"[1681262.9571517752, 1866300.6033246396, 1707021.2860228026, 1881130.7186493464, 1684844.7676832655, 1699008.6588693662]"
2025-07-29,affine_saa_mpc,baseline,68731.25314788077,"[1689671.0061123911, 1880934.8536860198, 1719906.8397764973, 1897011.7845608399, 1692997.991551455, 1707272.5732847876]"
2025-07-30,affine_saa_mpc,baseline,69232.46613385197,"[1683159.7276369373, 1865950.520710753, 1708507.2282788698, 1879491.4907422399, 1684402.710825419, 1700064.0810073337]"
2025-07-31,affine_saa_mpc,baseline,66765.90469554388,"[1676939.2677052964, 1855563.4559758725, 1696092.891982396, 1867295.407715242, 1678617.7310952467, 1694079.5183749483]"
2025-08-01,affine_saa_mpc,affine_saa_mpc,26178.969245407385,"[1658812.830644632, 1836953.8470188905, 1674252.5057300762, 1843693.3095300943, 1652984.493276719, 1666931.1625695461]"
2025-08-02,affine_saa_mpc,affine_saa_mpc,25335.507383004173,"[1646619.5990920854, 1812508.3006717947, 1661248.818535076, 1817765.182915817, 1638975.846857059, 1651835.9560729458]"
