日期,baseline,common_mpc,affine_feedback,affine_mpc,affine_saa_mpc,affine_sdp,总费用_元,按当日权重计算的专家费用_元,凸组合节省_元
2025-05-07,0.0,0.0,0.0,0.0,0.9999999999999956,4.509108364469953e-15,39031.24675908406,39031.24675908406,0.0
2025-05-08,0.0,0.0,0.0,0.0,1.0,0.0,42061.54794344467,42061.547943444675,7.275957614183426e-12
2025-05-09,0.0,0.0,0.0,0.0,1.0,0.0,13728.607536757194,13728.607536757192,-1.8189894035458565e-12
2025-05-10,0.0,0.0,1.5783210231302058e-15,0.0,0.9999999999999984,0.0,14281.186165433535,14281.18616543353,-5.4569682106375694e-12
2025-05-11,0.0,0.0,0.0,0.0,1.0,0.0,40908.64186581932,40908.641865819314,-7.275957614183426e-12
2025-05-12,0.0,0.0,0.0,0.0,1.0,0.0,38854.95554988507,38854.95554988507,0.0
2025-05-13,0.0,0.0,0.0,0.0,1.0,0.0,40824.20761079565,40824.20761079565,0.0
2025-05-14,0.0,0.0,0.0,0.0,1.0,0.0,40125.24079655059,40125.24079655059,0.0
2025-05-15,0.0,0.0,0.0,0.0,1.0,0.0,40697.54177785743,40697.54177785743,0.0
2025-05-16,0.0,0.0,0.0,0.0,1.0,0.0,13201.297347317395,13201.297347317395,0.0
2025-05-17,0.0,0.0,2.547159447560359e-15,0.0,0.9999999999999976,0.0,13619.242307472638,13619.242307472603,-3.456079866737127e-11
2025-05-18,0.0,0.0,0.0,0.0,1.0,0.0,41067.122436047415,41067.12243604743,1.4551915228366852e-11
2025-05-19,0.0,0.0,0.0,0.0,1.0,0.0,37935.97687431737,37935.97687431736,-7.275957614183426e-12
2025-05-20,0.0,0.0,0.0,0.0,1.0,0.0,38259.151823461354,38259.15182346135,-7.275957614183426e-12
2025-05-21,0.0,0.0,0.0,0.0,1.0,0.0,38032.89468645293,38032.89468645293,0.0
2025-05-22,0.0,0.0,0.0,0.0,1.0,0.0,37371.81945739921,37371.81945739921,0.0
2025-05-23,0.0,0.0,0.0,0.0,1.0,0.0,13423.403011177481,13423.403011177481,0.0
2025-05-24,0.0,0.0,0.0,0.0,1.0,0.0,13498.776452658914,13498.776452658914,0.0
2025-05-25,0.0,0.0,0.0,0.0,1.0,0.0,37928.394113954746,37928.394113954746,0.0
2025-05-26,0.0,0.0,0.0,0.0,1.0,0.0,38610.89797089194,38610.89797089194,0.0
2025-05-27,0.0,0.0,0.0,0.0,1.0,0.0,37082.938293470346,37082.938293470346,0.0
2025-05-28,8.111625427863916e-16,0.0,0.0,0.0,0.9999999999999992,0.0,39670.82102923079,39670.82102923075,-4.3655745685100555e-11
2025-05-29,0.0,0.0,0.0,0.0,1.0,0.0,39870.270653794025,39870.270653794025,0.0
2025-05-30,0.0,0.0,2.9710557181652296e-15,0.0,0.999999999999997,0.0,13515.36197939583,13515.361979395824,-5.4569682106375694e-12
2025-05-31,0.0,0.0,0.0,0.0,1.0,0.0,13731.083033333254,13731.083033333256,1.8189894035458565e-12
2025-06-01,0.0,0.0,0.0,0.0,1.0,0.0,61442.873556331084,61442.87355633108,-7.275957614183426e-12
2025-06-02,0.0,0.0,0.0,0.0,1.0,0.0,58872.464306247355,58872.46430624734,-1.4551915228366852e-11
2025-06-03,0.0,0.0,0.0,0.0,1.0,0.0,55537.1219731809,55537.12197318091,7.275957614183426e-12
2025-06-04,0.0,0.0,6.294150579502258e-15,0.0,0.9999999999999938,0.0,57889.803338934966,57889.803338934966,0.0
2025-06-05,0.0,0.0,0.0,0.0,1.0,0.0,57704.38965293313,57704.389652933125,-7.275957614183426e-12
2025-06-06,0.0,0.0,0.0,0.0,1.0,0.0,21735.82648119454,21735.82648119454,0.0
2025-06-07,0.0,0.0,0.0,0.0,1.0,0.0,21663.772928283393,21663.772928283393,0.0
2025-06-08,0.0,0.0,1.1503715403960966e-15,0.0,0.9999999999999988,0.0,53510.56795997448,53510.56795997444,-4.3655745685100555e-11
2025-06-09,0.0,0.0,0.0,0.0,1.0,0.0,60493.663612666736,60493.663612666736,0.0
2025-06-10,0.0,0.0,0.0,0.0,0.9999999999999996,4.897138250470336e-16,56961.42246523467,56961.42246523463,-3.637978807091713e-11
2025-06-11,0.0,0.0,3.9405095507590744e-16,0.0,0.9999999999999996,0.0,62937.70345704959,62937.70345704955,-3.637978807091713e-11
2025-06-12,0.0,0.0,0.0,0.0,1.0,0.0,60068.877986792875,60068.87798679288,7.275957614183426e-12
2025-06-13,1.2364243404808248e-15,0.0,0.0,0.0,0.9999999999999988,0.0,21707.2266748888,21707.226674888792,-7.275957614183426e-12
2025-06-14,0.0,0.0,0.0,0.0,1.0,0.0,22770.95386830467,22770.95386830467,0.0
2025-06-15,0.0,0.0,0.0,0.0,1.0,0.0,57699.403968852486,57699.403968852486,0.0
2025-06-16,0.0,0.0,0.0,0.0,1.0,0.0,59206.62655861603,59206.62655861603,0.0
2025-06-17,0.0,0.0,0.0,0.0,1.0,0.0,59922.83374788238,59922.83374788238,0.0
2025-06-18,0.0,0.0,0.0,0.0,1.0,0.0,59538.72546160581,59538.725461605805,-7.275957614183426e-12
2025-06-19,0.0,0.0,0.0,0.0,1.0,0.0,56835.02146135357,56835.021461353565,-7.275957614183426e-12
2025-06-20,0.0,0.0,0.0,0.0,1.0,0.0,20691.432645522356,20691.432645522356,0.0
2025-06-21,0.0,0.0,0.0,0.0,1.0,0.0,20369.517538447093,20369.51753844709,-3.637978807091713e-12
2025-06-22,0.0,0.0,0.0,0.0,1.0,0.0,53570.57666263795,53570.57666263793,-1.4551915228366852e-11
2025-06-23,0.0,0.0,0.0,0.0,1.0,0.0,54850.06320211948,54850.06320211947,-1.4551915228366852e-11
2025-06-24,1.5543122344752158e-15,0.0,0.0,0.0,0.9999999999999984,0.0,63936.32333558287,63936.3233355828,-7.275957614183426e-11
2025-06-25,0.0,0.0,0.0,0.0,1.0,0.0,55547.30547643005,55547.30547643005,0.0
2025-06-26,0.0,0.0,0.0,0.0,1.0,0.0,53000.149165567884,53000.14916556788,-7.275957614183426e-12
2025-06-27,0.0,0.0,0.0,0.0,1.0,0.0,19176.848571297385,19176.848571297385,0.0
2025-06-28,0.0,0.0,4.0232260805677255e-15,0.0,0.999999999999996,0.0,19236.79679304444,19236.796793044447,7.275957614183426e-12
2025-06-29,0.0,0.0,0.0,0.0,1.0,0.0,55877.355222112565,55877.355222112565,0.0
2025-06-30,0.0,0.0,0.0,0.0,1.0,0.0,55694.03758177389,55694.03758177388,-7.275957614183426e-12
2025-07-01,0.0,0.0,2.5643766881695858e-15,0.0,0.9999999999999974,0.0,69062.56693781524,69062.56693781524,0.0
2025-07-02,0.0,0.0,0.0,0.0,0.9999999999999978,2.2231990318679348e-15,65653.27359050178,65653.27359050173,-4.3655745685100555e-11
2025-07-03,0.0,0.0,0.0,0.0,1.0,0.0,71131.88910093528,71131.88910093528,0.0
2025-07-04,0.0,0.0,0.0,0.0,1.0,0.0,32906.88099061677,32906.88099061678,7.275957614183426e-12
2025-07-05,0.0,0.0,0.0,0.0,1.0,0.0,29375.88645475721,29375.886454757216,7.275957614183426e-12
2025-07-06,0.0,0.0,0.0,0.0,0.999999999999993,6.986590680990733e-15,72293.45674697346,72293.45674697336,-1.0186340659856796e-10
2025-07-07,0.0,0.0,0.0,0.0,1.0,0.0,60222.58838843103,60222.58838843103,0.0
2025-07-08,0.0,0.0,0.0,0.0,1.0,0.0,69827.08954331407,69827.08954331407,0.0
2025-07-09,0.0,0.0,0.0,0.0,1.0,0.0,68902.82602017368,68902.82602017367,-1.4551915228366852e-11
2025-07-10,1.2460149911152154e-15,0.0,0.0,0.0,0.9999999999999987,0.0,66325.7256856499,66325.72568564983,-7.275957614183426e-11
2025-07-11,0.0,0.0,0.0,0.0,1.0,0.0,30872.830271615032,30872.830271615032,0.0
2025-07-12,0.0,0.0,0.0,0.0,1.0,0.0,29314.684448053526,29314.68444805353,3.637978807091713e-12
2025-07-13,0.0,0.0,0.0,0.0,1.0,0.0,65715.60149899148,65715.60149899148,0.0
2025-07-14,0.0,0.0,0.0,0.0,1.0,0.0,64768.1268079664,64768.1268079664,0.0
2025-07-15,0.0,0.0,0.0,0.0,1.0,0.0,66116.15842640305,66116.15842640304,-1.4551915228366852e-11
2025-07-16,0.0,0.0,0.0,0.0,1.0,0.0,66298.8105829522,66298.8105829522,0.0
2025-07-17,0.0,0.0,0.0,0.0,1.0,0.0,64781.32777628949,64781.32777628948,-7.275957614183426e-12
2025-07-18,0.0,0.0,9.389437606606986e-16,0.0,0.9999999999999991,0.0,29582.391842638972,29582.391842638954,-1.8189894035458565e-11
2025-07-19,0.0,0.0,0.0,0.0,1.0,0.0,29837.63746780879,29837.637467808792,3.637978807091713e-12
2025-07-20,0.0,0.0,0.0,0.0,1.0,0.0,66132.8263237525,66132.8263237525,0.0
2025-07-21,0.0,0.0,0.0,0.0,1.0,0.0,69096.22211468277,69096.22211468277,0.0
2025-07-22,0.0,0.0,0.0,0.0,1.0,0.0,66990.53837990436,66990.53837990436,0.0
2025-07-23,0.0,0.0,0.0,0.0,1.0,0.0,70076.12563781424,70076.12563781426,1.4551915228366852e-11
2025-07-24,0.0,0.0,0.0,0.0,1.0,0.0,70465.0319618583,70465.0319618583,0.0
2025-07-25,0.0,0.0,1.0613916739378633e-15,0.0,0.9999999999999989,0.0,27843.885268187598,27843.885268187587,-1.0913936421275139e-11
2025-07-26,2.8704622447230965e-15,0.0,1.8493049258041642e-15,0.0,0.9999999999999952,0.0,29013.325636631496,29013.32563663149,-7.275957614183426e-12
2025-07-27,0.0,0.0,0.0,0.0,1.0,0.0,65740.91744609627,65740.91744609625,-1.4551915228366852e-11
2025-07-28,1.2792187254293032e-15,0.0,0.0,0.0,0.9999999999999987,0.0,68546.63595616624,68546.6359561662,-4.3655745685100555e-11
2025-07-29,0.0,0.0,1.0503704216838053e-15,0.0,0.999999999999999,0.0,67082.65576794397,67082.65576794393,-4.3655745685100555e-11
2025-07-30,0.0,0.0,0.0,0.0,1.0,0.0,63943.836994784164,63943.836994784164,0.0
2025-07-31,0.0,0.0,0.0,0.0,1.0,0.0,62591.384852932875,62591.38485293287,-7.275957614183426e-12
2025-08-01,0.0,0.0,7.89742636517571e-16,0.0,0.9999999999999991,0.0,25557.895150305096,25557.895150305067,-2.9103830456733704e-11
2025-08-02,0.0,0.0,0.0,0.0,1.0,0.0,25428.799995959842,25428.799995959842,0.0
2025-08-03,0.0,0.0,0.0,0.0,1.0,0.0,52648.6633786522,52648.663378652185,-1.4551915228366852e-11
2025-08-04,0.0,0.0,0.0,0.0,1.0,0.0,55356.33545800182,55356.33545800183,7.275957614183426e-12
2025-08-05,0.0,0.0,0.0,0.0,1.0,0.0,54184.00123721097,54184.00123721097,0.0
2025-08-06,0.0,0.0,0.0,0.0,0.9999999999999991,9.435560700392857e-16,59120.754102298146,59120.75410229811,-3.637978807091713e-11
2025-08-07,0.0,0.0,1.3854850623121514e-15,0.0,0.9999999999999987,0.0,56216.135052236685,56216.13505223665,-3.637978807091713e-11
2025-08-08,0.0,0.0,0.0,0.0,0.9999999999999958,4.139620262512596e-15,23474.649198803407,23474.649198803396,-1.0913936421275139e-11
2025-08-09,0.0,0.0,0.0,0.0,1.0,0.0,23522.895316228252,23522.89531622825,-3.637978807091713e-12
2025-08-10,0.0,0.0,0.0,0.0,1.0,0.0,55705.97521777547,55705.97521777547,0.0
2025-08-11,0.0,0.0,0.0,0.0,1.0,0.0,54390.94944424141,54390.949444241414,7.275957614183426e-12
2025-08-12,0.0,0.0,0.0,0.0,1.0,0.0,57190.541184398215,57190.54118439821,-7.275957614183426e-12
2025-08-13,0.0,0.0,9.403741278806585e-16,0.0,0.9999999999999991,0.0,52900.287180140534,52900.28718014053,-7.275957614183426e-12
2025-08-14,0.0,0.0,6.085676365474889e-16,0.0,0.9999999999999994,0.0,55198.20607454067,55198.206074540685,1.4551915228366852e-11
2025-08-15,0.0,0.0,0.0,0.0,1.0,0.0,23562.03469805487,23562.03469805487,0.0
2025-08-16,0.0,0.0,0.0,0.0,0.9999999999999977,2.2965689510243236e-15,24297.019203949203,24297.019203949174,-2.9103830456733704e-11
2025-08-17,0.0,0.0,0.0,0.0,1.0,0.0,54699.01320479013,54699.013204790135,7.275957614183426e-12
2025-08-18,0.0,0.0,0.0,0.0,1.0,0.0,54862.9850115943,54862.9850115943,0.0
2025-08-19,0.0,0.0,0.0,0.0,1.0,0.0,54390.819811840614,54390.819811840614,0.0
2025-08-20,0.0,0.0,3.4582420804261457e-16,0.0,0.9999999999999997,0.0,58666.74012314801,58666.740123148,-7.275957614183426e-12
2025-08-21,0.0,0.0,0.0,0.0,1.0,0.0,55193.447479327566,55193.44747932757,7.275957614183426e-12
2025-08-22,0.0,0.0,0.0,0.0,1.0,0.0,23750.28759905557,23750.28759905557,0.0
2025-08-23,0.0,0.0,0.0,0.0,0.9999999999999818,1.81446110615051e-14,23372.391220862577,23372.39122086257,-7.275957614183426e-12
2025-08-24,0.0,0.0,0.0,0.0,1.0,0.0,54988.71829664401,54988.71829664401,0.0
2025-08-25,0.0,0.0,0.0,0.0,1.0,0.0,63627.66065240642,63627.660652406405,-1.4551915228366852e-11
2025-08-26,0.0,0.0,0.0,0.0,0.9999999999999967,3.3013744679187568e-15,54774.410398760476,54774.41039876042,-5.820766091346741e-11
2025-08-27,0.0,0.0,0.0,0.0,1.0,0.0,57523.30769803315,57523.307698033146,-7.275957614183426e-12
2025-08-28,0.0,0.0,1.0918038527056633e-15,0.0,0.9999999999999982,6.448476869078962e-16,57106.84858242965,57106.84858242954,-1.0913936421275139e-10
2025-08-29,0.0,0.0,0.0,0.0,0.9999999999999961,3.906378300543445e-15,25195.89540608188,25195.895406081872,-7.275957614183426e-12
2025-08-30,0.0,0.0,0.0,0.0,1.0,0.0,24582.000161992364,24582.000161992364,0.0
2025-08-31,0.0,0.0,8.530362947769923e-16,0.0,0.9999999999999991,0.0,53985.60412602754,53985.60412602751,-2.9103830456733704e-11
2025-09-01,0.0,0.0,6.506699406425925e-16,0.0,0.9999999999999993,0.0,51026.19151615197,51026.19151615195,-2.1827872842550278e-11
2025-09-02,0.0,0.0,0.0,0.0,1.0,0.0,45904.962581127715,45904.96258112771,-7.275957614183426e-12
2025-09-03,0.0,0.0,8.053495961545681e-16,0.0,0.9999999999999991,0.0,48565.47675206298,48565.47675206295,-3.637978807091713e-11
2025-09-04,0.0,0.0,7.661957041624799e-16,0.0,0.9999999999999993,0.0,47498.77519725845,47498.775197258416,-3.637978807091713e-11
2025-09-05,0.0,0.0,0.0,0.0,1.0,0.0,18844.594488585815,18844.594488585815,0.0
2025-09-06,0.0,0.0,0.0,0.0,1.0,0.0,19625.95603725659,19625.95603725659,0.0
