date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,planned_energy,adjusted_energy,spill_energy,projection_count,projection_total_kwh,projection_max_kwh
2025-06-09,55995.67582529285,0.0,0.0,4.336112269243131e-11,55995.67582529289,1.2580159136632574e-11,87525.16408889522,87525.16408889522,13165.770483620068,0,0.0,0.0
2025-06-10,56246.89827357699,0.0,0.0,2.816727651122619e-11,56246.89827357702,6.405542762877303e-12,87837.65067161871,87837.65067161871,12663.10825039935,0,0.0,0.0
2025-06-11,56631.64677340585,0.0,0.0,3.966375228259267e-11,56631.64677340588,1.1479706074624119e-11,88886.3819169433,88886.3819169433,8635.002296952878,0,0.0,0.0
2025-06-12,57743.51613128725,0.0,0.0,2.2216640971350898e-11,57743.51613128728,5.45874456747697e-12,89900.15445039872,89900.15445039872,13985.919178310889,0,0.0,0.0
2025-06-13,26415.119413398395,0.0,0.0,2.540605059664358e-11,26415.11941339842,7.201350626928615e-12,44803.25921716835,44803.25921716835,14201.674503784945,0,0.0,0.0
2025-06-14,26409.86118526566,0.0,0.0,2.445895574965107e-11,26409.861185265683,6.913580818945775e-12,44970.97695704748,44970.97695704748,16616.52835943085,0,0.0,0.0
2025-06-15,57440.875494459935,0.0,0.0,4.096297701039475e-11,57440.87549445998,9.698908343125368e-12,89268.19525018198,89268.19525018198,15195.204549767212,0,0.0,0.0
2025-06-16,57976.23203906516,0.0,0.0,4.144035514741517e-11,57976.2320390652,1.0391687510491465e-11,90107.40390893354,90107.40390893354,13825.839736399797,0,0.0,0.0
2025-06-17,57552.47761575019,0.0,0.0,6.303461841383751e-11,57552.47761575026,1.6639134514662146e-11,89760.74932737641,89760.74932737641,11454.385917739866,0,0.0,0.0
2025-06-18,58914.96109353694,0.0,0.0,5.21806553521742e-11,58914.961093537,1.2136069926782511e-11,91295.5805070014,91295.5805070014,17342.048337405955,0,0.0,0.0
2025-06-19,58201.36770582973,0.0,0.0,5.103691158581114e-11,58201.36770582978,1.2949641359227826e-11,90178.35099089853,90178.35099089853,18646.398114134725,0,0.0,0.0
2025-06-20,25668.153144465305,0.0,0.0,3.497021339171624e-11,25668.15314446534,8.334666290465975e-12,43685.504651806754,43685.504651806754,19245.62475132468,0,0.0,0.0
2025-06-21,25446.62755305107,0.0,0.0,3.1783240928007217e-11,25446.627553051105,8.249401162174763e-12,43519.940321777736,43519.940321777736,22017.793078048446,0,0.0,0.0
2025-06-22,56207.682818572226,0.0,0.0,3.834691852944161e-11,56207.68281857226,1.0658141036401503e-11,87647.10488697552,87647.10488697552,16935.203336143073,0,0.0,0.0
2025-06-23,56060.724507279585,0.0,0.0,3.882466570459541e-11,56060.72450727962,8.880896018581552e-12,87566.86227117325,87566.86227117325,17106.809972486768,0,0.0,0.0
2025-06-24,55299.07888827504,0.0,0.0,2015.5702564373,57314.64914471234,432.71851535874555,86374.149637525,86374.149637525,6432.340782128719,0,0.0,0.0
2025-06-25,55444.38855537227,0.0,0.0,4.218371429942636e-11,55444.38855537231,1.0935252703347942e-11,86840.07326718884,86840.07326718884,12749.86448920325,0,0.0,0.0
2025-06-26,55990.69548506464,0.0,0.0,4.382583718154365e-11,55990.695485064694,1.1187495374542777e-11,87021.46380286725,87021.46380286725,16056.10576328692,0,0.0,0.0
2025-06-27,23709.810235614925,0.0,0.0,3.572003759444442e-11,23709.810235614957,9.043876758596525e-12,40828.91308796182,40828.91308796182,18847.452470374512,0,0.0,0.0
2025-06-28,23574.94139281693,0.0,0.0,2.868382154019855e-11,23574.94139281696,8.181899602277554e-12,40962.46020413823,40962.46020413823,17021.581580789658,0,0.0,0.0
2025-06-29,55176.59012307582,0.0,0.0,4.36238997147953e-11,55176.59012307585,1.131428284395497e-11,86486.94860870641,86486.94860870641,13903.825514927346,0,0.0,0.0
2025-06-30,54036.50293009739,0.0,0.0,13.066743333378577,54049.56967343077,6.11166666667726,84626.76595131861,84626.76595131861,11258.934119019588,0,0.0,0.0
2025-07-01,52923.24638469943,0.0,0.0,10958.478708851779,63881.72509355121,2791.188520961977,83409.2937122414,83409.2937122414,3468.855848077389,0,0.0,0.0
2025-07-02,50523.616702797364,0.0,0.0,12781.67848989911,63305.295192696474,2890.568877697159,80015.75314199692,80015.75314199692,6315.203635144959,0,0.0,0.0
2025-07-03,49054.09788688159,0.0,0.0,29929.482209059173,78983.58009594076,6129.1830322966725,77481.42130071044,77481.42130071044,78.33123730235877,0,0.0,0.0
2025-07-04,20403.817656180654,0.0,0.0,22320.710005825003,42724.527662005654,6073.94165857564,35675.54037738982,35675.54037738982,9760.98953333334,0,0.0,0.0
2025-07-05,20387.75276547502,0.0,0.0,25256.79698871079,45644.54975418581,6148.213967971242,36072.393436220416,36072.393436220416,10368.498416666673,0,0.0,0.0
2025-07-06,46009.111512709125,0.0,0.0,45969.45399425068,91978.5655069598,10461.25828525593,73366.18478454687,73366.18478454687,9.691802915767767e-12,0,0.0,0.0
2025-07-07,48300.55833767535,0.0,0.0,5180.518402687662,53481.07674036301,971.2444410250969,76961.54258536814,76961.54258536814,741.5057470451131,0,0.0,0.0
2025-07-08,59229.98145221059,0.0,0.0,4.1740737088957764e-11,59229.98145221063,1.0700773600547109e-11,91853.02975398397,91853.02975398397,12744.16649198061,0,0.0,0.0
