date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,planned_energy,adjusted_energy,spill_energy,projection_count,projection_total_kwh,projection_max_kwh
2025-05-19,39645.65456499956,0.0,0.0,3.58017890889073e-11,39645.6545649996,9.134915046615788e-12,63667.88097383817,63667.88097383817,13132.02533385579,0,0.0,0.0
2025-05-20,39683.4524290018,0.0,0.0,4.6186379165646945e-11,39683.452429001845,1.3081091765343444e-11,63454.592544930645,63454.592544930645,5345.692609575348,0,0.0,0.0
2025-05-21,40067.71241690585,0.0,0.0,5.147749959633075e-11,40067.7124169059,1.4011902749189176e-11,63911.853250265114,63911.853250265114,9320.42094398953,0,0.0,0.0
2025-05-22,39078.38577603448,0.0,0.0,3.7935791397103453e-11,39078.38577603452,1.1141310096718371e-11,62851.977997207185,62851.977997207185,8626.088369186396,0,0.0,0.0
2025-05-23,12972.17554794269,0.0,0.0,2.4558922007145156e-11,12972.175547942716,7.290168468898628e-12,30377.68754508748,30377.68754508748,20870.20181318904,0,0.0,0.0
2025-05-24,13756.689621408354,0.0,0.0,1.5824404897557542e-11,13756.689621408368,4.799716180059477e-12,31116.604230652916,31116.604230652916,24213.85008209086,0,0.0,0.0
2025-05-25,39124.551130480875,0.0,0.0,2.957364841904564e-11,39124.551130480904,8.469669410260394e-12,62765.373539414344,62765.373539414344,11293.825958337553,0,0.0,0.0
2025-05-26,38680.0342772945,0.0,0.0,5.962061067066315e-11,38680.03427729456,1.4082957022765186e-11,62126.74912527309,62126.74912527309,3988.428234350744,0,0.0,0.0
2025-05-27,39227.12283968052,0.0,0.0,3.846725959988362e-11,39227.12283968056,1.1780798558902461e-11,62829.292981190265,62829.292981190265,10339.863694107777,0,0.0,0.0
2025-05-28,39013.165909467774,0.0,0.0,5.580995221521334e-11,39013.16590946783,1.404742988597718e-11,62080.212088646585,62080.212088646585,6590.7797997743155,0,0.0,0.0
