日期,baseline,common_mpc,affine_feedback,affine_mpc,affine_saa_mpc,affine_sdp,总费用_元,按当日权重计算的专家费用_元,凸组合节省_元
2025-02-26,0.0,0.0,0.0,0.0,1.0,0.0,47224.970979685684,47224.97097968568,-7.275957614183426e-12
2025-02-27,0.0,0.0,0.0,0.0,1.0,0.0,46389.64000203923,46389.64000203922,-1.4551915228366852e-11
2025-02-28,0.0,0.0,9.50209874675939e-15,0.0,0.9999999999999905,0.0,17751.928081460177,17751.928081460155,-2.1827872842550278e-11
2025-03-01,0.0,0.0,0.0,0.0,1.0,0.0,17781.2517308496,17781.251730849595,-3.637978807091713e-12
2025-03-02,0.0,0.0,0.0,0.0,1.0,0.0,60920.753906068785,60920.753906068785,0.0
2025-03-03,0.0,0.0,0.0,0.0,1.0,0.0,56945.144575946266,56945.144575946266,0.0
2025-03-04,0.0,0.0,6.460627729128431e-16,0.0,0.9999999999999993,0.0,47370.02913031138,47370.02913031134,-3.637978807091713e-11
2025-03-05,0.0,0.0,6.983277895743343e-15,0.0,0.9999999999999931,0.0,47844.71967122291,47844.7196712229,-1.4551915228366852e-11
2025-03-06,0.0,0.0,0.0,0.0,1.0,0.0,47834.56620587244,47834.56620587244,0.0
2025-03-07,0.0,0.0,5.635466695695458e-16,0.0,0.9999999999999959,3.631014550011963e-15,17584.510324583247,17584.51032458323,-1.8189894035458565e-11
2025-03-08,0.0,0.0,0.0,0.0,0.9999999999999991,8.621361512212627e-16,16908.632727576776,16908.632727576765,-1.0913936421275139e-11
2025-03-09,0.0,0.0,0.0,0.0,1.0,0.0,45736.40173571351,45736.40173571351,0.0
2025-03-10,0.0,0.0,2.4310421322740984e-15,0.0,0.9999999999999976,0.0,45535.63170284037,45535.63170284033,-4.3655745685100555e-11
2025-03-11,0.0,0.0,1.5578481216329592e-15,0.0,0.999999999999998,4.4042414327506043e-16,44432.935448513555,44432.935448513526,-2.9103830456733704e-11
2025-03-12,0.0,0.0,0.0,0.0,0.9999999999999963,3.616852652032456e-15,44066.42674500647,44066.42674500642,-5.093170329928398e-11
2025-03-13,0.0,0.0,0.0,0.0,1.0,0.0,48416.02724838033,48416.02724838033,0.0
2025-03-14,0.0,0.0,6.684030265436609e-16,0.0,0.9999999999999992,0.0,16132.152147492758,16132.15214749273,-2.7284841053187847e-11
2025-03-15,0.0,0.0,0.0,0.0,0.9999999999999944,5.467969964661668e-15,16277.44015980016,16277.440159800119,-4.18367562815547e-11
2025-03-16,0.0,0.0,0.0,0.0,1.0,0.0,43326.02839859691,43326.02839859691,0.0
2025-03-17,0.0,0.0,0.0,0.0,0.9999999999999974,2.4995244921350864e-15,43311.38497891832,43311.38497891829,-2.9103830456733704e-11
2025-03-18,3.8379256761244735e-15,0.0,0.0,0.0,0.9999999999999923,3.833731534844585e-15,42073.38726066079,42073.387260660755,-3.637978807091713e-11
2025-03-19,0.0,0.0,1.8004490697743875e-14,0.0,0.9999999999999819,0.0,42328.749212164956,42328.74921216495,-7.275957614183426e-12
2025-03-20,0.0,0.0,0.0,0.0,0.9999999999999944,5.5551049015588986e-15,42380.47757459206,42380.477574592034,-2.9103830456733704e-11
2025-03-21,0.0,0.0,0.0,0.0,0.9999999999999982,1.829318245848157e-15,15807.030314825055,15807.030314825024,-3.092281986027956e-11
2025-03-22,7.539943594269596e-16,0.0,2.9872514254105077e-15,0.0,0.9999999999999962,0.0,16259.583433646752,16259.583433646747,-5.4569682106375694e-12
2025-03-23,0.0,0.0,0.0,0.0,1.0,0.0,40859.40473534314,40859.40473534313,-7.275957614183426e-12
2025-03-24,0.0,0.0,0.0,0.0,1.0,0.0,40436.807443205624,40436.80744320562,-7.275957614183426e-12
2025-03-25,0.0,0.0,0.0,0.0,1.0,0.0,40190.02049279614,40190.02049279614,0.0
2025-03-26,0.0,0.0,0.0,0.0,1.0,0.0,40189.515568246265,40189.51556824626,-7.275957614183426e-12
2025-03-27,0.0,0.0,0.0,0.0,1.0,0.0,40167.17254492197,40167.17254492197,0.0
2025-03-28,0.0,0.0,0.0,0.0,1.0,0.0,15483.338962440526,15483.338962440528,1.8189894035458565e-12
2025-03-29,0.0,0.0,0.0,0.0,1.0,0.0,15200.331609752333,15200.331609752333,0.0
2025-03-30,0.0,0.0,0.0,0.0,0.9999999999999977,2.356404680434915e-15,39082.32740321783,39082.327403217816,-1.4551915228366852e-11
2025-03-31,0.0,0.0,0.0,0.0,1.0,0.0,38158.09592426281,38158.0959242628,-7.275957614183426e-12
