日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-06-02,affine_saa_mpc,affine_saa_mpc,77805.7062459877,"[1003141.1976066271, 1173681.6345292628, 1013129.5959168733, 1173379.6964951267, 984231.9464780879, 988276.2394648666]"
2025-06-03,affine_saa_mpc,affine_saa_mpc,71692.5936985531,"[1041050.8094453303, 1204630.4554531574, 1046045.030629512, 1206159.2884833044, 1018441.6994383647, 1026401.8788716088]"
2025-06-04,affine_saa_mpc,affine_saa_mpc,69425.17392511781,"[1062596.474992324, 1229428.8023842666, 1070520.1358710472, 1234132.4235302545, 1048088.2209458007, 1057481.230703357]"
2025-06-05,affine_saa_mpc,affine_saa_mpc,68573.47376403268,"[1079292.36108075, 1251165.4803901098, 1096182.2185627182, 1259322.1295364862, 1074420.3556305077, 1083135.1109252796]"
2025-06-06,affine_saa_mpc,baseline,41913.74679390024,"[1099061.7835472357, 1278438.224586202, 1119868.2828271035, 1290844.7413463052, 1102777.4582632482, 1112703.5388898577]"
2025-06-07,affine_saa_mpc,baseline,28785.591110572306,"[1123766.7774993018, 1315469.1154421868, 1141562.631261024, 1328641.5190753764, 1126028.2051076551, 1137017.257059618]"
2025-06-08,affine_saa_mpc,baseline,56368.3572063437,"[1135319.4638523033, 1333798.4772951235, 1154316.7308155664, 1347422.6403341359, 1137001.9630134017, 1149154.178488155]"
2025-06-09,affine_saa_mpc,baseline,55580.72014789868,"[1150649.578688256, 1344684.4447772263, 1169810.7251263398, 1359842.159731772, 1153115.8700366674, 1165110.30046052]"
2025-06-10,affine_saa_mpc,baseline,55834.61786881303,"[1165273.707180428, 1362974.5750517813, 1184357.2117582657, 1376651.8070009747, 1168466.9844079616, 1180452.9144829658]"
2025-06-11,affine_saa_mpc,baseline,56255.915532369974,"[1180066.072784187, 1380347.756253211, 1199975.604749909, 1394868.7360008196, 1184078.228570669, 1196064.1586456732]"
2025-06-12,affine_saa_mpc,baseline,57452.36200407871,"[1194991.0329319139, 1411328.299827933, 1219022.096622023, 1426953.2188726012, 1199795.7641617125, 1211785.556758729]"
2025-06-13,affine_saa_mpc,baseline,26352.953263415442,"[1211725.9131701598, 1422062.241525101, 1235428.7629734247, 1438635.7992240305, 1217270.6873023596, 1229260.4798993762]"
2025-06-14,affine_saa_mpc,baseline,26392.209463524265,"[1221483.3288702115, 1432425.657845982, 1245260.1673107871, 1449058.1286377967, 1227136.691119814, 1239191.6223009152]"
2025-06-15,affine_saa_mpc,baseline,57112.005018139535,"[1231117.9301900303, 1433477.5628227147, 1254314.79096026, 1450467.7671620015, 1236984.4105807198, 1248922.1871350813]"
2025-06-16,affine_saa_mpc,baseline,57627.7744072218,"[1248038.1151183627, 1444518.688944488, 1270995.4915027567, 1461200.7250479956, 1254546.7394324983, 1266484.4228556044]"
