h,a,b,points,route_m
990,0.416667,0.458333,28,26226.3
990,0.416667,0.708333,28,26106.6
990,0.416667,0.75,28,26099.6
990,0.416667,0.791667,28,26097.2
990,0.416667,0.833333,28,26099.6
990,0.416667,0.875,28,26106.6
990,0.458333,0.125,28,26226.3
990,0.458333,0.166667,28,26215.7
990,0.458333,0.208333,28,26208.5
990,0.458333,0.25,28,26204.9
990,0.458333,0.291667,28,26204.9
990,0.458333,0.333333,28,26208.5
990,0.458333,0.375,28,26215.7
990,0.458333,0.416667,28,26226.3
990,0.458333,0.666667,28,26146.3
990,0.458333,0.708333,28,26137.8
990,0.458333,0.75,28,26133.5
990,0.458333,0.791667,28,26133.5
990,0.458333,0.833333,28,26137.8
990,0.458333,0.875,28,26146.3
990,0.5,0.125,28,26186.2
990,0.5,0.166667,28,26176.5
990,0.5,0.208333,28,26170.7
990,0.5,0.25,28,26168.7
990,0.5,0.291667,28,26170.7
990,0.5,0.333333,28,26176.5
990,0.5,0.375,28,26186.2
990,0.5,0.625,28,26186.2
990,0.5,0.666667,28,26176.5
990,0.5,0.708333,28,26170.7
990,0.5,0.75,28,26168.7
990,0.5,0.791667,28,26170.7
990,0.5,0.833333,28,26176.5
990,0.5,0.875,28,26186.2
990,0.541667,0.125,28,26146.3
990,0.541667,0.166667,28,26137.8
990,0.541667,0.208333,28,26133.5
990,0.541667,0.25,28,26133.5
990,0.541667,0.291667,28,26137.8
990,0.541667,0.333333,28,26146.3
990,0.541667,0.583333,28,26226.3
990,0.541667,0.625,28,26215.7
990,0.541667,0.666667,28,26208.5
990,0.541667,0.708333,28,26204.9
990,0.541667,0.75,28,26204.9
990,0.541667,0.791667,28,26208.5
990,0.541667,0.833333,28,26215.7
990,0.541667,0.875,28,26226.3
990,0.583333,0.125,28,26106.6
990,0.583333,0.166667,28,26099.6
990,0.583333,0.208333,28,26097.2
990,0.583333,0.25,28,26099.6
990,0.583333,0.291667,28,26106.6
990,0.583333,0.541667,28,26226.3
990,0.583333,0.583333,28,26255.2
990,0.583333,0.625,28,26246.9
990,0.583333,0.666667,28,26241.8
990,0.583333,0.708333,28,26240.1
990,0.583333,0.75,28,26241.8
990,0.583333,0.791667,28,26246.9
990,0.583333,0.833333,28,26255.2
990,0.583333,0.875,28,26226.3
990,0.625,0.125,28,26067.4
990,0.625,0.166667,28,26062.2
990,0.625,0.208333,28,26062.2
990,0.625,0.25,28,26067.4
