date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,spill_energy,ending_inventory,projection_count,planned_energy,adjusted_energy
2025-02-22,19356.488750048964,1.5762111615913454e-13,-86.81074448322829,3.7600898394885006e-11,19269.678005565773,1.0402345651527867e-11,3671.0874323360513,8503.876640148848,0,37088.50354307309,36824.67327429554
2025-02-23,49403.195830627694,7.157544094241899,-1127.7981475174226,78.31593110741716,48360.87115831193,16.92155707396041,742.8675216199421,7969.163603132273,0,79146.62249154555,76025.5208332658
2025-02-24,46990.66550343987,173.21309943929404,-417.2916363386813,250.87786511673357,46997.46483165723,55.26621666668639,1326.599462779356,8349.13708620013,0,74720.51260637376,73988.74070092144
2025-02-25,49492.056603858226,3.820474603344337e-13,-2626.9656482787595,136.18055250004758,47001.27150807952,31.095000000014423,2239.6698163234255,7951.586549377851,0,79369.81286307702,71733.11915635252
2025-02-26,45104.68162409139,1506.247243738225,-49.41484571754856,5.1192506234087886e-11,46561.51402211211,1.4349410548675223e-11,903.6603602950535,8700.283961745712,0,73120.77443098048,74775.49737106395
2025-02-27,42097.70557939651,2346.018241181419,-6.658269953497011,8.240743198939525e-11,44437.06555062451,2.2708945834892802e-11,302.79171359253627,6617.097539372731,0,67014.49596644622,69328.28789062495
2025-02-28,17606.618740128302,57.29821065291575,-125.78135169793256,3.804478865276906e-11,17538.13559908332,9.72022462519817e-12,7136.382761313742,6265.979834815656,0,33648.05386010143,33422.777008453006
2025-03-01,21274.002467918588,1.8301307136425747e-13,-608.9289619876438,3.557444472335192e-11,20665.073505930974,1.1581846592889633e-11,9856.666523893966,8093.184774734692,0,41236.99408345023,39612.18380337048
2025-03-02,51344.84485490169,312.9211235490501,-1163.7481012665735,6.144358621895662e-11,50494.01787718423,1.6129320101754274e-11,2711.7980614934518,8073.315416264756,0,82205.02026801667,79410.69111303508
2025-03-03,50474.86843700393,750.5002470731384,-1124.568128764195,9.047370141956889e-11,50100.80055531296,2.509636942704674e-11,1800.2964132727561,7937.677758759598,0,81061.19954181388,78024.75803937347
2025-03-04,45023.934274565676,2294.0761516013954,-146.91244030873025,252.60863695645457,47423.70662281479,51.26467301714816,640.5422244669938,8027.723365935711,0,72340.36793260997,73931.50855506943
2025-03-05,50410.19755994685,355.47772529877477,-2791.4052300524495,1058.6380141187244,49032.9080693119,232.82575793459728,2553.0016732516847,8369.629674452057,0,80896.02565098763,72904.35075344192
2025-03-06,45323.15639668335,3.3118681130872573e-13,-802.8209174691588,6.185872791775183e-11,44520.33547921425,1.8125945189240156e-11,2337.190863908565,6146.895472967451,0,72422.21875764111,70111.70762000742
2025-03-07,17371.099512207125,1.1714575975929621e-13,-376.8309771071972,3.178973306816602e-11,16994.26853509996,9.36717370336737e-12,8697.036679480416,5182.055039559167,0,32879.75005122655,31973.630233436248
