kind,date,emergency,kwh,cost_yuan
q4_2,2025-10-08,True,402.76817929564277,1762.5732914378066
q4_2,2025-10-09,False,1.1749712314212957e-11,4.528865904518397e-11
q4_2,2025-10-10,False,8.732570222491631e-12,2.5237870460159683e-11
q4_2,2025-10-11,False,1.1368683772161603e-11,3.289832761765865e-11
q4_2,2025-10-12,True,13.292912856910188,66.7636548237984
q4_2,2025-10-13,False,1.5482726212212583e-11,5.758770171837569e-11
q4_2,2025-10-14,True,318.2708104885586,1782.0503653516307
q4_2,2025-10-15,True,3.815872612530689,17.892626680138356
q4_2,2025-10-16,True,1151.2437618645602,5951.935741043167
q4_2,2025-10-17,False,6.764366844436154e-12,1.93228117950639e-11
q4_2,2025-10-18,False,1.1766587704187259e-11,3.487403432700376e-11
q4_2,2025-10-19,True,680.3435494567656,3949.4463245306533
q4_2,2025-10-20,True,562.868947930434,2990.518529772618
q4_2,2025-10-21,False,2.036237845004507e-11,7.884140362790503e-11
q4_2,2025-10-22,True,480.37284905416186,2499.7409601578474
q4_2,2025-10-23,False,1.2931877790833823e-11,5.183109408335441e-11
q4_2,2025-10-24,False,1.0152767515592132e-11,3.165812900718379e-11
q4_2,2025-10-25,True,89.04260480020929,355.5397255727602
q4_2,2025-10-26,False,1.4146905868983595e-11,4.932777386557063e-11
q4_2,2025-10-27,True,0.108854761924988,0.5714875000828346
q4_2,2025-10-28,False,2.1076029810274122e-11,8.388480576826395e-11
q4_2,2025-10-29,True,725.6291787662886,2214.8808846472775
q4_2,2025-10-30,False,1.1610268302320037e-11,4.2265064337243526e-11
q4_2,2025-10-31,False,7.688072400924284e-12,2.4502107009993777e-11
q4_2,2025-11-01,False,1.5305090528272558e-11,5.0414456609360063e-11
q4_2,2025-11-02,False,1.2114753644709708e-11,4.408477849437986e-11
q4_2,2025-11-03,False,1.5628387473043404e-11,5.166013217206e-11
q4_2,2025-11-04,True,42.27177943608792,199.84519695479128
q4_2,2025-11-05,False,1.645261704652512e-11,5.906773026254086e-11
q4_2,2025-11-06,True,1255.5320104096347,5956.019583980866
q4_2,2025-11-07,True,138.1248666666773,681.5447493333654
q4_2,2025-11-08,False,9.322320693172514e-12,2.4869706294339266e-11
q4_2,2025-11-09,False,1.900701818158268e-11,7.781707367371383e-11
q4_2,2025-11-10,True,241.6378411061506,1353.1942853290673
q4_2,2025-11-11,False,1.4054535313334782e-11,5.811157599566741e-11
q4_2,2025-11-12,True,8.029082862217859,41.31364586753004
q4_2,2025-11-13,True,2.010533333346668,10.126051133391535
q4_2,2025-11-14,False,1.2164491636212915e-11,4.123648977838456e-11
q4_2,2025-11-15,False,7.689848757763684e-12,2.6568283573169534e-11
q4_2,2025-11-16,False,1.8526513656524912e-11,8.593775557841356e-11
q4_2,2025-11-17,False,1.539746108392137e-11,6.016807319042528e-11
q4_2,2025-11-18,False,2.1159962670935784e-11,8.789582750523551e-11
q4_2,2025-11-19,True,97.57134730714097,229.9232795308704
q4_2,2025-11-20,False,1.8459900275047403e-11,7.684186442702411e-11
q4_2,2025-11-21,False,1.1652900866465643e-11,3.3241860819543946e-11
q4_2,2025-11-22,False,1.2960299500264227e-11,3.637754275587213e-11
q4_2,2025-11-23,False,1.532463045350596e-11,6.171074851124559e-11
q4_2,2025-11-24,False,9.451994742448733e-12,3.67824712910192e-11
q4_2,2025-11-25,False,1.6136425529111875e-11,6.609883484998135e-11
q4_2,2025-11-26,False,1.461586407458526e-11,6.619460535262078e-11
q4_2,2025-11-27,False,1.716671249596402e-11,7.446186600645888e-11
q4_2,2025-11-28,True,27.41184808790324,124.75495160914076
q4_2,2025-11-29,True,121.91349532790248,387.8228803758518
q4_2,2025-11-30,True,124.9199155038465,682.1585144278379
q4_2,2025-12-01,True,5090.270145680981,25836.187169626268
q4_2,2025-12-02,True,7351.032857250499,38976.84739005916
q4_2,2025-12-03,True,4390.471567274153,19635.582475150528
q4_2,2025-12-04,True,3226.16979417961,17106.667598990058
q4_2,2025-12-05,True,1194.369685365805,5519.946782465981
q4_2,2025-12-06,True,1616.353215242957,7037.205832933558
q4_2,2025-12-07,True,3279.4816069040844,13984.430891545797
q4_2,2025-12-08,False,9.549694368615746e-12,3.316421270938008e-11
q4_2,2025-12-09,False,1.028865881380625e-11,4.862894797952321e-11
q4_2,2025-12-10,False,1.1169731806148775e-11,4.6905029194022065e-11
q4_2,2025-12-11,False,1.4154011296341196e-11,6.451381295846659e-11
q4_2,2025-12-12,False,6.139977415386966e-12,2.0089184094018718e-11
q4_2,2025-12-13,False,8.419931418757187e-12,2.788862119018631e-11
q4_2,2025-12-14,False,6.792788553866558e-12,3.481292765172839e-11
q4_2,2025-12-15,False,1.899991275422508e-11,8.692752828665106e-11
q4_2,2025-12-16,False,8.611777957412414e-12,3.93327042047531e-11
q4_2,2025-12-17,False,4.774847184307873e-12,2.4504515749868007e-11
q4_2,2025-12-18,False,5.6843418860808015e-12,3.0172287779350884e-11
q4_2,2025-12-19,False,1.0857093002414331e-11,3.257984815263626e-11
q4_2,2025-12-20,False,1.2050804798491299e-11,4.0658932221049326e-11
q4_2,2025-12-21,False,5.002220859751105e-12,2.148539124391391e-11
q4_2,2025-12-22,False,1.0118128557223827e-11,3.613786248024553e-11
q4_2,2025-12-23,False,1.233502189279534e-11,5.846541739629174e-11
