endpoint,kind,date,original_bill,alternative_bill_same_trajectory,bill_increase,no_return_shadow_policy_bill
fixed6000,q4_2,2025-08-23,25589.24218776716,25589.24218776716,0.0,25589.24218776716
fixed6000,q4_2,2025-08-24,52511.94893445066,52511.94893445066,0.0,52511.94893445066
fixed6000,q4_2,2025-08-25,56757.536999078984,56757.536999078984,0.0,56757.536999078984
fixed6000,q4_2,2025-08-26,53569.76309304748,53569.76309304748,0.0,53569.76309304748
fixed6000,q4_2,2025-08-27,56410.90262183646,56410.90262183646,0.0,56410.90262183646
fixed6000,q4_2,2025-08-28,60053.50225406667,60053.50225406667,0.0,60053.50225406667
fixed6000,q4_2,2025-08-29,25074.799787385164,25074.799787385164,0.0,25074.799787385164
fixed6000,q4_2,2025-08-30,26243.555319539264,26243.555319539264,0.0,26243.555319539264
fixed6000,q4_2,2025-08-31,52693.269410578345,52693.269410578345,0.0,52693.269410578345
fixed6000,q4_2,2025-09-01,49888.87197809921,49888.87197809921,0.0,49888.87197809921
fixed6000,q4_2,2025-09-02,47662.23125199825,47662.23125199825,0.0,47662.23125199825
fixed6000,q4_2,2025-09-03,48689.37622618733,48689.37622618733,0.0,48689.37622618733
fixed6000,q4_2,2025-09-04,49870.71590539247,49870.71590539247,0.0,49870.71590539247
fixed6000,q4_2,2025-09-05,19144.420699693514,19144.420699693514,0.0,19144.420699693514
fixed6000,q4_2,2025-09-06,21587.992744522642,21587.992744522642,0.0,21587.992744522642
fixed6000,q4_2,2025-09-07,45403.54867897085,45403.54867897085,0.0,45403.54867897085
fixed6000,q4_2,2025-09-08,46273.210883824955,46273.210883824955,0.0,46273.210883824955
fixed6000,q4_2,2025-09-09,42977.74399079129,42977.74399079129,0.0,42977.74399079129
fixed6000,q4_2,2025-09-10,49672.39301137474,49672.39301137474,0.0,49672.39301137474
fixed6000,q4_2,2025-09-11,40491.897103480456,40491.897103480456,0.0,40491.897103480456
fixed6000,q4_2,2025-09-12,15978.037276605875,15978.037276605875,0.0,15978.037276605875
fixed6000,q4_2,2025-09-13,17213.429198364614,17213.429198364614,0.0,17213.429198364614
fixed6000,q4_2,2025-09-14,39986.854887756694,39986.854887756694,0.0,39986.854887756694
fixed6000,q4_2,2025-09-15,42504.58234442555,42504.58234442555,0.0,42504.58234442555
fixed6000,q4_2,2025-09-16,42643.822568196316,42643.822568196316,0.0,42643.822568196316
fixed6000,q4_2,2025-09-17,45450.501348211954,45450.501348211954,0.0,45450.501348211954
fixed6000,q4_2,2025-09-18,40793.681504363245,40793.681504363245,0.0,40793.681504363245
fixed6000,q4_2,2025-09-19,15769.775266810142,15769.775266810142,0.0,15769.775266810142
fixed6000,q4_2,2025-09-20,18495.039904561345,18495.039904561345,0.0,18495.039904561345
fixed6000,q4_2,2025-09-21,44358.60861518768,44358.60861518768,0.0,44358.60861518768
fixed6000,q4_2,2025-09-22,43403.95667207841,43403.95667207841,0.0,43403.95667207841
fixed6000,q4_2,2025-09-23,46115.59605392079,46115.59605392079,0.0,46115.59605392079
fixed6000,q4_2,2025-09-24,44632.97293457663,44632.97293457663,0.0,44632.97293457663
fixed6000,q4_2,2025-09-25,45464.20275594319,45464.20275594319,0.0,45464.20275594319
fixed6000,q4_2,2025-09-26,15893.292892996178,15893.292892996178,0.0,15893.292892996178
fixed6000,q4_2,2025-09-27,23998.16824307895,23998.16824307895,0.0,23998.16824307895
fixed6000,q4_2,2025-09-28,44189.92886008517,44189.92886008517,0.0,44189.92886008517
fixed6000,q4_2,2025-09-29,45716.25341784823,45716.25341784823,0.0,45716.25341784823
fixed6000,q4_2,2025-09-30,48846.10414136603,48846.10414136603,0.0,48846.10414136603
fixed6000,q4_2,2025-10-01,44810.35948508392,44810.35948508392,0.0,44810.35948508392
fixed6000,q4_2,2025-10-02,41446.54308658029,41446.54308658029,0.0,41446.54308658029
fixed6000,q4_2,2025-10-03,14302.980450210329,14302.980450210329,0.0,14302.980450210329
fixed6000,q4_2,2025-10-04,16381.765015311774,16381.765015311774,0.0,16381.765015311774
fixed6000,q4_2,2025-10-05,41249.78297834926,41249.78297834926,0.0,41249.78297834926
fixed6000,q4_2,2025-10-06,41945.43270032281,41945.43270032281,0.0,41945.43270032281
fixed6000,q4_2,2025-10-07,44646.002753124325,44646.002753124325,0.0,44646.002753124325
fixed6000,q4_2,2025-10-08,41663.05440784562,41663.05440784562,0.0,41663.05440784562
fixed6000,q4_2,2025-10-09,38796.88000436021,38796.88000436021,0.0,38796.88000436021
fixed6000,q4_2,2025-10-10,14217.018903644734,14217.018903644734,0.0,14217.018903644734
fixed6000,q4_2,2025-10-11,15428.385205508548,15428.385205508548,0.0,15428.385205508548
fixed6000,q4_2,2025-10-12,39536.46927786141,39536.46927786141,0.0,39536.46927786141
fixed6000,q4_2,2025-10-13,41328.977785860596,41328.977785860596,0.0,41328.977785860596
fixed6000,q4_2,2025-10-14,42103.9640529271,42103.9640529271,0.0,42103.9640529271
fixed6000,q4_2,2025-10-15,42195.239501450575,42195.239501450575,0.0,42195.239501450575
fixed6000,q4_2,2025-10-16,46753.72806920347,46753.72806920347,0.0,46753.72806920347
fixed6000,q4_2,2025-10-17,15831.546006161821,15831.546006161821,0.0,15831.546006161821
